time,q1,q2,q3,q4,q5,q6
1780319651.071975470,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.072797298,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.073461533,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.074058533,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.074779749,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.075434923,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.075988293,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.076646328,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.077197313,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.077827692,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.082360029,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.092359066,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.101410151,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.111789227,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.121855259,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.132316351,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.142105103,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.152349234,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.161973953,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.171586275,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.182302475,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.192265272,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.201835155,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.212128401,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.222079754,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.232200384,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.242066860,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.252375364,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.262602806,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.271448851,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.281792402,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.292126417,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.301680803,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.311896324,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.321870804,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.331714153,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.341494322,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.351559877,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.361410856,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.372070551,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.381951571,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.391865253,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.401909828,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.412151337,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.421582699,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.431954622,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.442814112,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.452525377,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.461736202,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.472149134,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.482124329,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.492318630,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.501771688,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.512597084,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.521775246,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.532029867,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.541666508,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.551773071,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.561803341,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.571732998,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.581692457,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.591671467,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.601520538,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.611594439,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.621736765,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.631522417,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.641895294,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.651693106,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.661495924,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.671653032,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.681599855,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.692140341,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.701805592,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.713952065,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.722906590,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.733163834,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.743485689,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.753082991,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.763106823,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.774360657,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.783002138,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.793323278,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.802995682,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.812975407,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.823676348,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
1780319651.832988024,0.0,-1.5707963267948966,1.5707963267948966,-3.141592653589793,-1.5707963267948966,0.0
