time,target_shoulder_pan_joint,target_shoulder_lift_joint,target_elbow_joint,target_wrist_1_joint,target_wrist_2_joint,target_wrist_3_joint,actual_shoulder_pan_joint,actual_shoulder_lift_joint,actual_elbow_joint,actual_wrist_1_joint,actual_wrist_2_joint,actual_wrist_3_joint
1780327195.892074347,-0.017699910540453168,-1.5784675218906514,1.5784339054941015,-3.141559043359255,-1.5071849695405302,0.0,-0.016902878163471066,-1.5870596351547626,1.563478312885415,-3.0326676948097404,-1.5090813266586243,-0.004499722974631221
1780327195.991980076,-0.01770390545917344,-1.578469143640607,1.5784355126047451,-3.1415590320124367,-1.5071706429904017,0.0,-0.017034776201794728,-1.586455743678452,1.56294102025754,-3.032912315285342,-1.508078085540379,-0.0048600059669367925
1780327196.092073679,-0.008609719793989612,-1.5738387271533547,1.5747199554641969,-3.1447860765635967,-1.5398150176242353,-0.0004174533785530343,-0.0393210613493323,-1.508764827568891,1.4865058281458474,-3.0496697614842367,-1.4726833885714825,-0.005090719760630656
1780327196.192107677,-0.007967806711041803,-1.5744201365148909,1.5743583604947253,-3.1413895120120987,-1.542121975717171,-0.00010395346243186054,-0.03007595161936742,-1.493227933575378,1.4713600343873536,-3.0486418838660874,-1.473351210136326,-0.007251984406575446
1780327196.292006016,-0.007958203512010265,-1.5743853500894325,1.5743572583743026,-3.14151055685948,-1.5421564988741618,-0.0001461301705125706,-0.020219671892593095,-1.5245170718798198,1.5022016285396282,-3.04138516899868,-1.494900068717241,-0.008163912123206784
1780327196.392072916,-0.00795415014873857,-1.5743730498784583,1.5743565522033256,-3.1415522193008587,-1.5421710675945626,-0.00015854868521802956,-0.01414034875819665,-1.5524723794539899,1.5299911356350375,-3.037553111509147,-1.514543255643817,-0.007587282639483968
1780327196.492442131,-0.007952299940714447,-1.5743674516436998,1.5743562278808108,-3.1415711711869365,-1.5421777176736224,-0.00016415665225011367,-0.010969591958233195,-1.5681170263296496,1.5454416390484282,-3.035957926967653,-1.5274650359531767,-0.006363082265273009
1780327196.592072010,-0.007951765881006878,-1.5743658069785145,1.5743561432985853,-3.141576755200593,-1.5421796372093972,-0.00016577253964822347,-0.009300551602902652,-1.5757093207545658,1.5528155805383919,-3.035087110339437,-1.5351165462750687,-0.005128386094802429
1780327196.692154408,-0.0046870774176070995,-1.572919747464864,1.5729207650404102,-3.1416030290319146,-1.5539194359459358,7.331970615731335e-06,-0.021497124042077747,-1.5577196038153849,1.5347831691399263,-3.039904446280914,-1.5295630026701283,-0.004649833605057755
1780327196.792125463,-0.0005407227465141773,-1.5710440672966488,1.5710452737542955,-3.1415970927103762,-1.5688478776212564,2.670832406717798e-06,-0.016789026913806952,-1.5400881532717694,1.5167601909971777,-3.040391920819854,-1.5340237119877251,-0.004165427630127518
1780327196.892143011,-0.0010556878102114808,-1.5712809899410587,1.5712812621972723,-3.1415939841586438,-1.5669926107413676,9.545490870067843e-07,-0.003944854204502598,-1.539364963806337,1.5156298955067158,-3.038196650010459,-1.536908348687575,-0.0035904022434520176
1780327196.992372513,-0.005692943533135875,-1.5733703052601538,1.5733666633115315,-3.141589383991956,-1.5503010872950433,2.8789603400184065e-07,0.0031154237637367947,-1.5463258474301602,1.5225530603729867,-3.0368709261841573,-1.534771718661217,-0.0032056151892027114
1780327197.092431545,-0.014326789001684936,-1.5770808215089476,1.577058309623272,-3.14157027359514,-1.5192854304306387,2.2789716420060595e-08,0.005470411419095355,-1.5515064450916833,1.5278145680024775,-3.036790632172104,-1.5243898871509458,-0.0031263319821728075
1780327197.192268372,-0.02691589016756346,-1.582076629943428,1.5820039401387485,-3.141519968520847,-1.4741554746178327,-8.853567123878747e-08,-0.0011034306071231665,-1.558117468225002,1.5345363140768276,-3.036217906019903,-1.5066040018194764,-0.0035571163343690853
1780327197.292087555,-0.04180620619511277,-1.5873537979507617,1.5871971873474573,-3.1414360470811076,-1.4208165949998435,-2.997046877339926e-08,-0.011484125446048621,-1.5629994902125262,1.539460502568891,-3.0355334397071827,-1.479902604692975,-0.004517421533190049
1780327197.392022371,-0.05778166846284627,-1.5922513141344057,1.591988358460531,-3.1413297054954925,-1.3634871088346632,2.352104974432141e-08,-0.026461735524620923,-1.5734120401223208,1.54989202293929,-3.0339411813438844,-1.4461630894532087,-0.006283246783257971
