time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,ax,ay,az,imu_wx,imu_wy,imu_wz,v_bx,v_by,v_bz,w_bx,w_by,w_bz
76.42,2.8314479275888585e-13,-1.569999999995694,1.570137795685852,-1.569999999984577,-1.569999999999939,-1.0830774794947258e-14,3.4722468804741904e-11,-1.236461902897844e-10,-1.2871943714343426e-10,-1.447030211587377e-10,2.0458087162539013e-12,-5.264469352427904e-13,-0.007768024199835657,0.0077680511147212574,-9.799993842609522,1.1219506102593129e-13,9.83633440566658e-14,-1.4739555268711993e-16,0.39999999993410773,-4.4337143458043854e-12,0.0,0.0,0.0,-2.171978800404109e-11
76.44,5.798901548851321e-13,-1.5699266936228942,1.5701871384697197,-1.5699999999837488,-1.5699999999996568,-8.294899770361195e-14,1.7762146964296795e-11,-0.0008145152762017225,-0.002079316188671071,1.2212430225651326e-11,1.1723212790202284e-11,-2.9574344885476174e-12,1.87991925818592,-3.7300412063570967,-9.802934065464424,0.001777160730289268,-5.757844406552438e-05,0.05151087871286337,0.7999999999635309,-1.529625732060497e-12,0.0,0.0,0.0,-5.656824834944242e-12
76.46,8.425178673498265e-13,-1.569940621834086,1.570151582162888,-1.5699999999835645,-1.5699999999995018,-1.2137873393063184e-13,1.0668527869396767e-11,-0.0006597573708052018,-0.001684246113068504,8.006661349380009e-12,5.429788590321019e-12,-1.3017406841038873e-12,1.3578890585954388,-3.2884915220250943,-9.802321925856315,0.002992942823042261,-0.00012711930870868597,0.1203398182276366,0.7999999999635808,-2.549712253818145e-12,0.0,0.0,0.0,-1.015185927943426e-11
76.48,9.93339472236196e-13,-1.5699519036851026,1.5701227815543508,-1.569999999983445,-1.5699999999994436,-1.3394254267508706e-13,5.8794327371068655e-12,-0.0005344034681676282,-0.0013642393517195078,5.149194106007554e-12,1.3690017476304488e-12,-1.9127052914603981e-13,0.9384210401110568,-2.9352034025024496,-9.801876358373987,0.002481873020480107,-0.00016829762748346032,0.16721733102191946,0.7999999999654105,-3.7412572176337104e-12,0.0,0.0,0.0,-1.508938373555929e-11
76.5,1.0704622075175726e-12,-1.5699610419843908,1.5700994530614334,-1.5699999999833698,-1.5699999999994465,-1.2947851375643567e-13,2.679237108321915e-12,-0.00043286680762501196,-0.0011050338749861426,3.1949113358164735e-12,-1.2335552365813282e-12,5.292711391770635e-13,0.6344424837547881,-2.682892785875877,-9.801605497572991,0.0020608262152654977,-0.0001900985028659059,0.1967867419754598,0.7999999999675693,-4.656998767057214e-12,0.0,0.0,0.0,-1.8329115352228904e-11
76.52,1.1000505992586334e-12,-1.5699684440067898,1.570080556982169,-1.5699999999833238,-1.5699999999994863,-1.1558322147744143e-13,7.178986273720725e-13,-0.0003506221131490232,-0.0008950774387970141,1.963446576548969e-12,-2.7068005091024708e-12,8.62039457286308e-13,0.4026975313827969,-2.506972485705802,-9.801441688715135,0.0017132468367550102,-0.0001987128894599758,0.21293299368592652,0.7999999999686546,-5.59980200270158e-12,0.0,0.0,0.0,-2.145229523534556e-11
76.54,1.0997368639876897e-12,-1.5699744396449173,1.5700652511579645,-1.5699999999832963,-1.5699999999995486,-9.696409046019566e-14,-5.44281972465234e-13,-0.0002840039109719578,-0.0007250127254573757,1.1770242636108068e-12,-3.6291675366935047e-12,1.0470773418235976e-12,0.22065258884610464,-2.3910227552112473,-9.801348141247521,0.0014268306734602672,-0.00019965286384359182,0.22021486412359953,0.7999999999687467,-6.6339790869309206e-12,0.0,0.0,0.0,-2.4775374893996707e-11
76.56,1.082522156084164e-12,-1.569979296111787,1.570052853440358,-1.569999999983282,-1.5699999999996175,-7.746032271872399e-14,-1.0243635095979337e-12,-0.0002300431669801974,-0.0005872603076799035,4.409968255438099e-13,-3.1505457422607852e-12,8.801975397458237e-13,0.07908513342711308,-2.3121971986680756,-9.80129649654621,0.0011901852318381189,-0.00019519313221521114,0.22054067604548985,0.7999999999699896,-7.4483450227188e-12,0.0,0.0,0.0,-2.6756754364231964e-11
76.58,1.0625964075059167e-12,-1.5699832298499308,1.5700428112890952,-1.569999999983282,-1.5699999999996646,-6.435833310558369e-14,-1.0785269839762648e-12,-0.00018633496412873008,-0.0004756808492756713,-2.673258783661512e-13,-1.9243290229516152e-12,5.432556666887592e-13,0.15445447648389474,-2.164937792845554,-9.80133702596097,0.0009979643904263695,-0.00019118917111221633,0.22037047512559954,0.7999999999720546,-6.897142059229516e-12,0.0,0.0,0.0,-2.203369865034105e-11
76.6,1.0227532591262798e-12,-1.5699864161777919,1.5700346771465707,-1.5699999999833023,-1.5699999999997127,-5.1229104850871074e-14,-2.819730072264187e-12,-0.0001509313186351819,-0.00038530148807703143,-1.5886061031504832e-12,-2.9353301202444254e-12,7.843676879878969e-13,0.09834243167862626,-1.9361457819926344,-9.801188381032135,0.0008435976621850512,-0.00018955128630233583,0.22211168281211913,0.7999999999747747,-6.730131556577923e-12,0.0,0.0,0.0,-1.9561717697073627e-11
76.62,9.573946893059123e-13,-1.5699889971033194,1.5700280884911235,-1.5699999999833423,-1.5699999999997742,-3.5137781115695045e-14,-3.815602415730042e-12,-0.00012225436615849456,-0.0003120942054706994,-2.431953964111052e-12,-3.3428959334827132e-12,8.671501423819158e-13,-0.03853861834733145,-1.659980014474713,-9.800924854711464,0.0007141045905438916,-0.00018358982378379292,0.21806303824726242,0.7999999999771733,-6.9686668765432765e-12,0.0,0.0,0.0,-1.920122047470846e-11
76.64,8.698683633429961e-13,-1.5699910876529972,1.5700227516802105,-1.5699999999833758,-1.5699999999998886,-8.748387203964626e-15,-4.75232058024487e-12,-9.902603799568372e-05,-0.0002527963063475445,-1.231559725213419e-12,-7.1574458192962334e-12,1.5866232481488718e-12,-0.6329590740961455,-1.6472871422805708,-9.800513072023852,0.000603295064366174,-0.00017271125916171843,0.20743365580166548,0.7999999999766093,-7.823538605495561e-12,0.0,0.0,0.0,-2.1868357819036974e-11
76.66,7.71918000332856e-13,-1.5699927809982068,1.5700184288633692,-1.5699999999834204,-1.5700000000000034,1.746871498857131e-14,-5.638324930643673e-12,-8.021108569823453e-05,-0.00020476500848240172,-3.921771352388963e-12,-4.198514745503562e-12,1.0833668760267673e-12,-0.5835587855204818,-1.5652865933263234,-9.800539854476401,0.0004992868345934395,-0.00014915042314461485,0.18078863791181377,0.7999999999784578,-7.855067204670396e-12,0.0,0.0,0.0,-2.0274580625482965e-11
76.68,6.721821939204335e-13,-1.5699941526077592,1.5700149273817243,-1.5699999999834953,-1.5700000000000687,3.415393060955788e-14,-4.8501020365708525e-12,-6.497097834818763e-05,-0.00016585965694515168,-3.773336619391696e-12,-2.884588076214334e-12,7.209875600190652e-13,-0.4028754801616922,-1.005798630425636,-9.800274273976504,0.0004133898625172031,-0.0001286245710534461,0.15708049180075623,0.7999999999842177,-6.8333909714918e-12,0.0,0.0,0.0,-1.3826288204614322e-11
76.7,5.746131592410218e-13,-1.569995263611461,1.5700120911815891,-1.5699999999835765,-1.5700000000001175,4.528376491417148e-14,-5.506658260075962e-12,-5.2626489265449526e-05,-0.00013434632234670632,-4.88593740780133e-12,-2.164251599928637e-12,3.659512878275914e-13,-0.39441909058335334,-0.869360532495975,-9.800207290703488,0.00034333432061132226,-0.00011175042676100551,0.13731190550679967,0.7999999999880529,-6.422977081137512e-12,0.0,0.0,0.0,-1.0763417067351986e-11
76.72,4.794520441962357e-13,-1.5699961635244228,1.5700097938594764,-1.569999999983663,-1.5700000000001513,5.0787104668566674e-14,-4.553068629043443e-12,-4.262745591083295e-05,-0.00010882052111831414,-4.1793593766163446e-12,-1.5455648100324432e-12,2.438761337515173e-13,-0.34445815670482477,-0.5306679134388596,-9.800002844333681,0.00028607804162775267,-9.78348619817048e-05,0.12082281938097261,0.7999999999916001,-5.8265791501139654e-12,0.0,0.0,0.0,-7.098813724350252e-12
