Time,Base_X_World,Base_Y_World,Base_Z_World,Base_Roll_W,Base_Pitch_W,Base_Yaw_W,EE_X_Base,EE_Y_Base,EE_Z_Base,EE_Roll_W,EE_Pitch_W,EE_Yaw_W
6.200472116470337,-3.720025809929511e-07,2.5923161909506167e-13,0.0,0.0,0.0,-1.3937502742048762e-06,0.5001933570901265,0.11235748427150091,0.7125998036850034,-1.6559330138324329,-0.00013680224575256784,-1.570549876039646
6.250504970550537,-3.7200287054238186e-07,2.592320226556994e-13,0.0,0.0,0.0,-1.3937574525146739e-06,0.5001933570901265,0.11235748427150091,0.7125998036850034,-1.6559330138324329,-0.00013680224575256784,-1.570549876039646
6.300496578216553,-3.7200316008965645e-07,2.5923242621541063e-13,0.0,0.0,0.0,-1.39376463136635e-06,0.5001933538095562,0.11235744258841415,0.7125998047125325,-1.655933042153697,-0.00013722003787411331,-1.5705467566843543
6.350507974624634,-3.72003739178108e-07,2.5923323333257027e-13,0.0,0.0,0.0,-1.3937789906945114e-06,0.5001933505317524,0.11235740092625035,0.7125998057435469,-1.655933070429932,-0.00013763774888356494,-1.5705436366324195
6.400425910949707,-3.720040287191868e-07,2.5923363688988243e-13,0.0,0.0,0.0,-1.3937861711711803e-06,0.5001933505317524,0.11235740092625035,0.7125998057435469,-1.655933070429932,-0.00013763774888356494,-1.5705436366324195
6.450472354888916,-3.7200431825846585e-07,2.5923404044676495e-13,0.0,0.0,0.0,-1.3937933521899657e-06,0.5001933472544495,0.11235735928946984,0.712599806774674,-1.6559330930440053,-0.00013797187174250929,-1.5705411406255037
6.500460147857666,-3.7200460779571983e-07,2.5923444400290445e-13,0.0,0.0,0.0,-1.3938005337506338e-06,0.5001933472544495,0.11235735928946984,0.712599806774674,-1.6559330986973595,-0.0001380554024310604,-1.5705405166201838
6.550466537475586,-3.7200518686421137e-07,2.5923525111303614e-13,0.0,0.0,0.0,-1.393814898495599e-06,0.5001933439772319,0.11235731767284993,0.7125998078049345,-1.6559331269652875,-0.0001384730075803496,-1.5705373969890577
6.600773811340332,-3.720054763955717e-07,2.5923565466719967e-13,0.0,0.0,0.0,-1.3938220816806541e-06,0.5001933439772319,0.11235731767284993,0.7125998078049345,-1.6559331269652875,-0.0001384730075803496,-1.5705373969890577
6.650944232940674,-3.720057659249335e-07,2.592360582206575e-13,0.0,0.0,0.0,-1.3938292654074134e-06,0.500193340700241,0.1123572760703434,0.7125998088342029,-1.6559331495804752,-0.0001388070506360567,-1.5705349016814816
6.700507879257202,-3.720063449778561e-07,2.592368653257274e-13,0.0,0.0,0.0,-1.3938436344845649e-06,0.500193340700241,0.1123572760703434,0.7125998088342029,-1.655933155234107,-0.0001388905613742981,-1.570534277850994
6.750767230987549,-3.720066345012738e-07,2.592372688771404e-13,0.0,0.0,0.0,-1.3938508198353622e-06,0.5001933374167173,0.1123572344528885,0.7125998098518226,-1.6559331836457798,-0.00013930806710399553,-1.5705311586611388
6.800638914108276,-3.7200692402255254e-07,2.592376724276525e-13,0.0,0.0,0.0,-1.3938580057264537e-06,0.5001933374167173,0.1123572344528885,0.7125998098518226,-1.6559331836457798,-0.00013930806710399553,-1.5705311586611388
6.850499868392944,-3.7200750305936716e-07,2.592384795269133e-13,0.0,0.0,0.0,-1.3938723791336182e-06,0.500193334138078,0.11235719286147741,0.7125998108735523,-1.6559332119884886,-0.000139725508474754,-1.570528040323726
6.900482416152954,-3.72007792574853e-07,2.5923888307559263e-13,0.0,0.0,0.0,-1.3938795666491335e-06,0.500193334138078,0.11235719286147741,0.7125998108735523,-1.6559332119884886,-0.000139725508474754,-1.570528040323726
6.950520038604736,-3.720080820882453e-07,2.5923928662343504e-13,0.0,0.0,0.0,-1.3938867547062607e-06,0.5001933308599784,0.11235715130202344,0.7125998118950588,-1.6559332403115703,-0.00014014285545348618,-1.5705249239791872
7.000430107116699,-3.720086611094399e-07,2.5924009371757135e-13,0.0,0.0,0.0,-1.3939011324437296e-06,0.5001933308599784,0.11235715130202344,0.7125998118950588,-1.6559332403115703,-0.00014014285545348618,-1.5705249239791872
7.0504724979400635,-3.7200895061713265e-07,2.59240497263713e-13,0.0,0.0,0.0,-1.3939083221241083e-06,0.5001933275809989,0.11235710978217348,0.712599812914053,-1.6559332686209918,-0.00014056003793349318,-1.5705218119915962
7.100599765777588,-3.7200924012271173e-07,2.5924090080898984e-13,0.0,0.0,0.0,-1.393915512344912e-06,0.5001933275809989,0.11235710978217348,0.712599812914053,-1.6559332686209918,-0.00014056003793349318,-1.5705218119915962
7.150367736816406,-3.7200981912802806e-07,2.592417078976455e-13,0.0,0.0,0.0,-1.3939298944104175e-06,0.5001933243087677,0.11235706823011185,0.7125998139421503,-1.6559332967946554,-0.0001409770126291218,-1.5705187012827597
7.200380802154541,-3.720101086280291e-07,2.5924211144139246e-13,0.0,0.0,0.0,-1.393937086254289e-06,0.500193321023569,0.1123570265368398,0.7125998149471855,-1.655933319609378,-0.0001413105187467799,-1.5705162074133787
7.250626802444458,-3.72010398125927e-07,2.5924251498428985e-13,0.0,0.0,0.0,-1.39394427863932e-06,0.500193321023569,0.1123570265368398,0.7125998149471855,-1.6559333253128943,-0.00014139389525092544,-1.5705155839424354
7.300616264343262,-3.7201097711591593e-07,2.592433220682372e-13,0.0,0.0,0.0,-1.393958665031055e-06,0.5001933177476625,0.112356984950319,0.7125998159615182,-1.655933353686829,-0.00014181068340731723,-1.5705124681254765
7.3507606983184814,-3.720112666078797e-07,2.592437256091098e-13,0.0,0.0,0.0,-1.393965859038569e-06,0.5001933177476625,0.112356984950319,0.7125998159615182,-1.655933353686829,-0.00014181068340731723,-1.5705124681254765
7.401154041290283,-3.7201155609799413e-07,2.592441291494873e-13,0.0,0.0,0.0,-1.3939730535863345e-06,0.5001933144836173,0.11235694340143824,0.7125998169926633,-1.6559333762073583,-0.0001421440581015857,-1.570509975848751
7.451002359390259,-3.7201213507233637e-07,2.5924493622828487e-13,0.0,0.0,0.0,-1.3939874443039039e-06,0.5001933144836173,0.11235694340143824,0.7125998169926633,-1.655933381837326,-0.00014222740174935647,-1.57050935277597
7.500619411468506,-3.7201242455666064e-07,2.5924533976683976e-13,0.0,0.0,0.0,-1.3939946404731682e-06,0.5001933112208736,0.11235690184975725,0.7125998180259427,-1.6559334099699166,-0.0001426440819776301,-1.5705062359632866
7.550665378570557,-3.7201271403910974e-07,2.5924574330486384e-13,0.0,0.0,0.0,-1.394001837183458e-06,0.5001933112208736,0.11235690184975725,0.7125998180259427,-1.6559334099699166,-0.0001426440819776301,-1.5705062359632866
7.600728273391724,-3.7201329299825277e-07,2.5924655037913994e-13,0.0,0.0,0.0,-1.3940162322261717e-06,0.5001933079540084,0.11235686030857377,0.7125998190517708,-1.6559334381949131,-0.00014306074308749922,-1.5705031187043612
7.650458097457886,-3.7201358247495057e-07,2.5924695391539737e-13,0.0,0.0,0.0,-1.3940234305578726e-06,0.5001933079540084,0.11235686030857377,0.7125998190517708,-1.6559334381949131,-0.00014306074308749922,-1.5705031187043612
7.700438022613525,-3.720138719497232e-07,2.592473574510549e-13,0.0,0.0,0.0,-1.3940306294304888e-06,0.5001933046926037,0.11235681881073807,0.712599820084529,-1.6559334663157266,-0.000143477373704951,-1.5705000024224343
7.7504987716674805,-3.7201445089336454e-07,2.5924816452039155e-13,0.0,0.0,0.0,-1.394045028796167e-06,0.5001933046926037,0.11235681881073807,0.712599820084529,-1.6559334663157266,-0.000143477373704951,-1.5705000024224343
7.800663232803345,-3.7201474036241464e-07,2.592485680543239e-13,0.0,0.0,0.0,-1.3940522292892164e-06,0.5001933014266114,0.11235677731016097,0.7125998211096988,-1.655933494525717,-0.00014389397058463697,-1.5704968864503437
7.850600719451904,-3.7201502982956695e-07,2.5924897158769513e-13,0.0,0.0,0.0,-1.3940594303227472e-06,0.5001933014266114,0.11235677731016097,0.7125998211096988,-1.655933494525717,-0.00014389397058463697,-1.5704968864503437
7.900848388671875,-3.720156087580998e-07,2.59249778652645e-13,0.0,0.0,0.0,-1.3940738340102661e-06,0.5001932981633624,0.11235673586933041,0.7125998221373265,-1.6559335226672203,-0.00014431047945058406,-1.5704937737512312
7.95078444480896,-3.720158982194553e-07,2.5925018218418896e-13,0.0,0.0,0.0,-1.394081036663933e-06,0.5001932981633624,0.11235673586933041,0.7125998221373265,-1.6559335226672203,-0.00014431047945058406,-1.5704937737512312
8.000509977340698,-3.7201618767887854e-07,2.592505857151244e-13,0.0,0.0,0.0,-1.3940882398583734e-06,0.5001932949058929,0.11235669440833639,0.712599823172625,-1.6559335506973953,-0.00014472687211467352,-1.57049066176027
8.0504732131958,0.051355728690884596,-7.15947882249974e-08,0.0,0.0,0.0,-1.3940904094374192e-06,0.4987656711135804,0.11303395079692166,0.7118995123430613,-1.6581883548819167,-0.00036052092018134694,-1.5708021286514
8.100424528121948,0.07988689575134253,-1.1136982622941112e-07,0.0,0.0,0.0,-1.394091219336442e-06,0.4987656711135804,0.11303395079692166,0.7118995123430613,-1.6581883548819167,-0.00036052092018134694,-1.5708021286514
