time,husky_x_world,husky_y_world,husky_z_world,husky_roll_world_deg,husky_pitch_world_deg,husky_yaw_world_deg,ee_x_ur_base,ee_y_ur_base,ee_z_ur_base,ee_roll_world_deg,ee_pitch_world_deg,ee_yaw_world_deg
6.951444625854492,-8.238194673664089e-13,-6.424372777406493e-16,0.0,-1.280883152178138e-07,-2.575723609413185e-07,-0.34359888397842375,-0.2996590936604165,-0.11415469872471154,0.4785771805957738,-94.89256413397466,0.01020236355316364,-91.04407952741228
7.000722885131836,-7.438134268915719e-13,-3.2319368877796496e-15,0.0,-1.23156159526712e-07,-2.595905695892235e-07,-0.52859327760345,-0.2996590936604165,-0.11415469872471154,0.4785771805957738,-94.8946832922644,0.011248561170705029,-91.34960157661533
7.050897836685181,-7.438134268915719e-13,-3.2319368877796496e-15,0.0,-1.3382691321872508e-07,-2.604096793198614e-07,-0.6749262463109881,-0.2996590936604165,-0.11415469872471154,0.4785771805957738,-94.8946832922644,0.011248561170705029,-91.34960157661533
7.100738525390625,-7.283459599331738e-13,-4.070053869039282e-15,0.0,-1.4677918681374612e-07,-2.5891854869843655e-07,-0.7059690536712748,-0.2996590936604165,-0.11415469872471154,0.4785771805957738,-94.8946832922644,0.011248561170705029,-91.34960157661533
7.150752305984497,-8.290426753615483e-13,-2.1538548202269107e-15,0.0,-1.5740990540378585e-07,-2.5613721931117236e-07,-0.6574597536929594,-0.3001380690063895,-0.11425430599274261,0.4786551000152315,-94.83504855709826,0.04826100392237398,-90.13796429798629
7.20084285736084,-8.290426753615483e-13,-2.1538548202269107e-15,0.0,-1.6619877659988316e-07,-2.5270005196855354e-07,-0.5538153519980691,-0.3001380690063895,-0.11425430599274261,0.4786551000152315,-94.83504855709826,0.04826100392237398,-90.13796429798629
7.250873565673828,-9.54434003462243e-13,-2.152372619454208e-15,0.0,-1.7916869758973557e-07,-2.45596922531775e-07,-0.23978488323672786,-0.3001380690063895,-0.11425430599274261,0.4786551000152315,-94.83504855709826,0.04826100392237398,-90.13796429798629
7.300907373428345,-9.54434003462243e-13,-2.152372619454208e-15,0.0,-1.8372075614977758e-07,-2.423195876131622e-07,-0.04735086010233877,-0.3001380690063895,-0.11425430599274261,0.4786551000152315,-94.83504855709826,0.04826100392237398,-90.13796429798629
7.350784540176392,-1.0692037275567259e-12,-4.4197389144624486e-15,0.0,-1.8717152982682564e-07,-2.393379599146504e-07,0.16124226475091016,-0.3001380690063895,-0.11425430599274261,0.4786551000152315,-94.83504855709826,0.04826100392237398,-90.13796429798629
7.40093469619751,-1.0692037275567259e-12,-4.4197389144624486e-15,0.0,-1.8973874287113508e-07,-2.3670991762659442e-07,0.3824372754261687,-0.3018548986314481,-0.10768596473746718,0.4786917401327674,-94.80935063762118,0.005411693462668828,-88.7835712819449
7.450747728347778,-1.1654100142523334e-12,-8.238808710410417e-15,0.0,-1.8408143537377844e-07,-2.4078005476889146e-07,0.6071809202033327,-0.3018548986314481,-0.10768596473746718,0.4786917401327674,-94.80584552202433,-0.00042502810305222386,-88.5988842970827
7.500785827636719,-8.722910731461918e-13,6.429363858802942e-15,0.0,-1.7743843820791356e-07,-2.7031119628626817e-07,0.6346836463478858,-0.3018548986314481,-0.10768596473746718,0.4786917401327674,-94.80584552202433,-0.00042502810305222386,-88.5988842970827
7.550587177276611,-8.722910731461918e-13,6.429363858802942e-15,0.0,-1.6945504842101327e-07,-2.6328922715504533e-07,0.6346836493232253,-0.3018548986314481,-0.10768596473746718,0.4786917401327674,-94.80584552202433,-0.00042502810305222386,-88.5988842970827
7.6012115478515625,-8.843037468673063e-13,5.828229143664854e-15,0.0,-1.664421542596237e-07,-2.606299253752027e-07,0.6346836504301338,-0.30091283053834345,-0.10906417386642069,0.4785849405539869,-94.88669640401693,-0.054998177023488665,-88.14210725010842
7.65088415145874,-8.843037468673063e-13,5.828229143664854e-15,0.0,-1.6394103565452755e-07,-2.5842609408206885e-07,0.6346836513647861,-0.30091283053834345,-0.10906417386642069,0.4785849405539869,-94.88669640401693,-0.054998177023488665,-88.14210725010842
7.700870990753174,-8.931415125918904e-13,5.385972248601743e-15,0.0,-1.6186726939927368e-07,-2.566078238020667e-07,0.6346836521540502,-0.30091283053834345,-0.10906417386642069,0.4785849405539869,-94.88669640401693,-0.054998177023488665,-88.14210725010842
7.751229524612427,-8.995684273057397e-13,5.064358456749775e-15,0.0,-1.5872796836858878e-07,-2.5389392122298025e-07,0.6346836533831984,-0.30091283053834345,-0.10906417386642069,0.4785849405539869,-94.88669640401693,-0.054998177023488665,-88.14210725010842
