time,target_x_base,actual_x_base,target_y_base,actual_y_base,target_z_base,actual_z_base,target_roll_world_rad,actual_roll_world_rad,target_pitch_world_rad,actual_pitch_world_rad,target_yaw_world_rad,actual_yaw_world_rad
5.500000000,-0.295150000,0.312069765,-0.112350000,0.090361745,0.480900000,-0.288293381,-1.570796338,1.705526220,-0.000010948,-0.109005697,1.570874581,0.862301521
5.550000000,-0.295150000,0.347822899,-0.112350000,0.199254126,0.480900000,-0.164604755,-1.570796338,1.237221428,-0.000010948,-1.046518015,1.570874581,1.258712795
5.600000000,-0.295150000,0.356271949,-0.112350000,0.211852824,0.480900000,-0.043710041,-1.570796338,-1.041253588,-0.000010948,-1.002417760,1.570874581,-3.009389672
5.650000000,-0.295150000,0.355707307,-0.112350000,0.159928694,0.480900000,0.037337213,-1.570796338,-1.578705860,-0.000010948,-0.181010851,1.570874581,-3.070385616
5.700000000,-0.295150000,0.355852592,-0.112350000,0.108568727,0.480900000,0.091012458,-1.570796338,-2.055450453,-0.000010948,0.349386300,1.570874581,2.661945749
5.750000000,-0.295150000,0.357581312,-0.112350000,0.062570464,0.480900000,0.167453109,-1.570796338,-2.409720224,-0.000010948,0.512828187,1.570874581,2.018278231
5.800000000,-0.295150000,0.337541356,-0.112350000,0.010361686,0.480900000,0.258205031,-1.570796338,-2.603441491,-0.000010948,0.565660274,1.570874581,1.430572441
5.850000000,-0.295150000,0.291013639,-0.112350000,-0.035574477,0.480900000,0.331387224,-1.570796338,-2.780982944,-0.000010948,0.490354779,1.570874581,0.902135943
5.900000000,-0.295150000,0.231867282,-0.112350000,-0.065217441,0.480900000,0.371167361,-1.570796338,-2.879983060,-0.000010948,0.175025954,1.570874581,0.590320983
5.950000000,-0.295150000,0.181106932,-0.112350000,-0.078513260,0.480900000,0.386341934,-1.570796338,-2.992665246,-0.000010948,-0.328379168,1.570874581,0.579810525
6.000000000,-0.295150000,0.148485716,-0.112350000,-0.082447113,0.480900000,0.397897788,-1.570796338,2.708561850,-0.000010948,-0.781881905,1.570874581,1.097258426
6.050000000,-0.295150000,0.122921023,-0.112350000,-0.084433212,0.480900000,0.422924751,-1.570796338,1.721648513,-0.000010948,-0.551995136,1.570874581,1.875944813
6.100000000,-0.295150000,0.086918800,-0.112350000,-0.088335924,0.480900000,0.462696941,-1.570796338,1.140240350,-0.000010948,-0.003989581,1.570874581,1.919462098
6.150000000,-0.295150000,0.032252443,-0.112350000,-0.094442361,0.480900000,0.506733186,-1.570796338,0.550830663,-0.000010948,0.275083988,1.570874581,1.535951170
6.200000000,-0.295150000,-0.037267232,-0.112350000,-0.101837811,0.480900000,0.539180943,-1.570796338,0.031001528,-0.000010948,0.130170639,1.570874581,1.128908270
6.250000000,-0.295150000,-0.111152420,-0.112350000,-0.108936329,0.480900000,0.552569299,-1.570796338,-0.295547482,-0.000010948,-0.211129439,1.570874581,0.964465778
6.300000000,-0.295150000,-0.180208865,-0.112350000,-0.114496117,0.480900000,0.547252655,-1.570796338,-0.586325118,-0.000010948,-0.539566536,1.570874581,1.029865523
6.350000000,-0.295150000,-0.237737234,-0.112350000,-0.118026297,0.480900000,0.527337799,-1.570796338,-0.981542929,-0.000010948,-0.738956470,1.570874581,1.301762268
6.400000000,-0.295150000,-0.279804036,-0.112350000,-0.119497372,0.480900000,0.499677870,-1.570796338,-1.423420239,-0.000010948,-0.746943177,1.570874581,1.643028070
6.450000000,-0.295150000,-0.307064897,-0.112350000,-0.119093282,0.480900000,0.471450918,-1.570796338,-1.748111292,-0.000010948,-0.623026084,1.570874581,1.853848472
6.500000000,-0.295150000,-0.322973740,-0.112350000,-0.117116359,0.480900000,0.447568000,-1.570796338,-1.944979258,-0.000010948,-0.466907189,1.570874581,1.914649151
6.550000000,-0.295150000,-0.331473572,-0.112350000,-0.113958194,0.480900000,0.430232214,-1.570796338,-2.061908130,-0.000010948,-0.330192410,1.570874581,1.882188548
6.600000000,-0.295150000,-0.335654777,-0.112350000,-0.110076673,0.480900000,0.419666799,-1.570796338,-2.125905096,-0.000010948,-0.225284685,1.570874581,1.801324827
6.650000000,-0.295150000,-0.337424285,-0.112350000,-0.105950758,0.480900000,0.414995102,-1.570796338,-2.148997962,-0.000010948,-0.146310661,1.570874581,1.701535251
6.700000000,-0.295150000,-0.337747684,-0.112350000,-0.102020682,0.480900000,0.414868484,-1.570796338,-2.140024739,-0.000010948,-0.082457122,1.570874581,1.602390833
6.750000000,-0.295150000,-0.337059041,-0.112350000,-0.098633805,0.480900000,0.417838137,-1.570796338,-2.108563731,-0.000010948,-0.025562808,1.570874581,1.516420384
6.800000000,-0.295150000,-0.335600534,-0.112350000,-0.096012630,0.480900000,0.422571576,-1.570796338,-2.064132284,-0.000010948,0.027280070,1.570874581,1.450499191
6.850000000,-0.295150000,-0.333606088,-0.112350000,-0.094250894,0.480900000,0.427979281,-1.570796338,-2.014614275,-0.000010948,0.074719684,1.570874581,1.406811655
6.900000000,-0.295150000,-0.331346683,-0.112350000,-0.093332286,0.480900000,0.433269245,-1.570796338,-1.965702211,-0.000010948,0.113574604,1.570874581,1.383977713
6.950000000,-0.295150000,-0.329097742,-0.112350000,-0.093161608,0.480900000,0.437941773,-1.570796338,-1.921190970,-0.000010948,0.140988696,1.570874581,1.378400273
7.000000000,-0.295150000,-0.327089489,-0.112350000,-0.093596795,0.480900000,0.441741263,-1.570796338,-1.883455524,-0.000010948,0.155603706,1.570874581,1.385577213
7.050000000,-0.295150000,-0.325474512,-0.112350000,-0.094475457,0.480900000,0.444590276,-1.570796338,-1.853761633,-0.000010948,0.157796671,1.570874581,1.401120684
7.100000000,-0.295150000,-0.324319797,-0.112350000,-0.095634941,0.480900000,0.446528420,-1.570796338,-1.832426972,-0.000010948,0.149333307,1.570874581,1.421356930
7.150000000,-0.295150000,-0.323618457,-0.112350000,-0.096925899,0.480900000,0.447664477,-1.570796338,-1.818977973,-0.000010948,0.132795254,1.570874581,1.443515638
7.200000000,-0.295150000,-0.323312224,-0.112350000,-0.098220318,0.480900000,0.448141814,-1.570796338,-1.812368599,-0.000010948,0.111026962,1.570874581,1.465634322
