time,target_x_base,actual_x_base,target_y_base,actual_y_base,target_z_base,actual_z_base,target_roll_world_rad,actual_roll_world_rad,target_pitch_world_rad,actual_pitch_world_rad,target_yaw_world_rad,actual_yaw_world_rad
3.500000000,-0.295150000,0.313409440,-0.112350000,-0.125011829,0.480900000,-0.283952482,-1.570796330,1.606389167,0.000000001,0.559484742,1.570796327,-0.048042069
3.550000000,-0.295150000,0.412777854,-0.112350000,-0.123019592,0.480900000,-0.203526960,-1.570796330,1.584212542,0.000000001,0.423786152,1.570796327,0.135722967
3.600000000,-0.295150000,0.482722412,-0.112350000,-0.126559425,0.480900000,-0.102229245,-1.570796330,1.541247612,0.000000001,0.236456624,1.570796327,0.199679015
3.650000000,-0.295150000,0.522742680,-0.112350000,-0.134697388,0.480900000,0.012418365,-1.570796330,1.487479670,0.000000001,0.046940515,1.570796327,0.230987444
3.700000000,-0.295150000,0.531894638,-0.112350000,-0.145428936,0.480900000,0.131950715,-1.570796330,1.428939409,0.000000001,-0.123483684,1.570796327,0.247088221
3.750000000,-0.295150000,0.512013766,-0.112350000,-0.156568900,0.480900000,0.249672894,-1.570796330,1.354018524,0.000000001,-0.311927247,1.570796327,0.270120443
3.800000000,-0.295150000,0.464267444,-0.112350000,-0.166578669,0.480900000,0.358722076,-1.570796330,1.250657336,0.000000001,-0.536943408,1.570796327,0.319176773
3.850000000,-0.295150000,0.391965292,-0.112350000,-0.174613738,0.480900000,0.451920038,-1.570796330,1.096550648,0.000000001,-0.768720418,1.570796327,0.413054762
3.900000000,-0.295150000,0.300964205,-0.112350000,-0.180303575,0.480900000,0.522534134,-1.570796330,0.867656787,0.000000001,-0.965973816,1.570796327,0.570831648
3.950000000,-0.295150000,0.200777323,-0.112350000,-0.183577461,0.480900000,0.567434564,-1.570796330,0.488238596,0.000000001,-1.128066918,1.570796327,0.873311572
4.000000000,-0.295150000,0.099299005,-0.112350000,-0.184506326,0.480900000,0.588330134,-1.570796330,-0.186312976,0.000000001,-1.199520279,1.570796327,1.467048216
4.050000000,-0.295150000,0.003651899,-0.112350000,-0.183248033,0.480900000,0.587892423,-1.570796330,-0.787576233,0.000000001,-1.120276592,1.570796327,1.981588205
4.100000000,-0.295150000,-0.083172226,-0.112350000,-0.180526659,0.480900000,0.570318897,-1.570796330,-1.129168134,0.000000001,-0.995639446,1.570796327,2.228667569
4.150000000,-0.295150000,-0.156369891,-0.112350000,-0.176747530,0.480900000,0.540863382,-1.570796330,-1.359918927,0.000000001,-0.856910337,1.570796327,2.359163445
4.200000000,-0.295150000,-0.213350584,-0.112350000,-0.172417391,0.480900000,0.506031623,-1.570796330,-1.513310792,0.000000001,-0.714690595,1.570796327,2.413385436
4.250000000,-0.295150000,-0.255108135,-0.112350000,-0.167655411,0.480900000,0.471588691,-1.570796330,-1.618457102,0.000000001,-0.603999720,1.570796327,2.417479228
4.300000000,-0.295150000,-0.284572099,-0.112350000,-0.163169344,0.480900000,0.441095796,-1.570796330,-1.703868378,0.000000001,-0.542481949,1.570796327,2.406680699
