q1,q2,q3,q4,q5,q6,qw,qx,qy,qz,wx,wy,wz
6.309972858141485e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,8.129160015905907e-20,1.0,1.242361309096974e-09,2.2679645643962306e-09,6.068108932133985e-12,4.401029978749935e-13,2.761781919781182e-13,-2.708323461576194e-18
5.61563843097365e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.2926888941631025e-19,1.0,1.2423614600009059e-09,2.267963489448144e-09,6.068108941003317e-12,5.600610274957191e-13,-9.180975280064211e-13,6.874289019719691e-18
5.193662695834665e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.964700540088513e-20,1.0,1.2423611304477958e-09,2.2679642698192237e-09,6.068108936159586e-12,4.4003385873613465e-13,2.7618305614274434e-13,-2.2226008883026856e-18
2.628420486687459e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-2.2554940912792545e-20,1.0,1.2423608182834982e-09,2.267965271863924e-09,6.068108935307691e-12,4.399975960765926e-13,2.762089382170056e-13,7.339194911281476e-18
2.6565150320386963e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,1.1269627586075175e-19,1.0,1.2423613030111075e-09,2.267963392283592e-09,6.068108930951469e-12,-9.054191957881359e-13,-1.8310812791065824e-12,-1.2578900039884222e-17
6.903173558034576e-20,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,3.4190684260797915e-21,1.0,1.2423609467496328e-09,2.2679640404393883e-09,6.068108918454034e-12,-6.649793333236658e-13,1.021872587099294e-12,-5.598372772553548e-18
1.3844174366100006e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-1.4534105888115774e-19,1.0,1.2423606635682277e-09,2.267964445158545e-09,6.068108913505644e-12,4.400137914549642e-13,2.761329573287569e-13,7.070354693865807e-20
3.744515811130075e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,-5.2421659206950687e-20,1.0,1.2423611057914552e-09,2.2679633843137025e-09,6.068108907315197e-12,-9.054412059595993e-13,-1.8310669711073535e-12,9.380652849270618e-19
-1.987040408241125e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,4.643034892085011e-20,1.0,1.2423610592585978e-09,2.2679641963155396e-09,6.0681088990638644e-12,-6.649667739257003e-13,1.0218721083156135e-12,-4.234880120435775e-18
-2.99571265050804e-19,-1.5699999999950196,1.5700000000125376,-1.5699999999842669,-1.569999999999997,5.482501899600807e-20,1.0,1.2423602755548193e-09,2.2679643548711176e-09,6.068108899493949e-12,-9.054825478894791e-13,-1.831082056262701e-12,-9.397417184942752e-18
