time,target_shoulder_pan_joint,target_shoulder_lift_joint,target_elbow_joint,target_wrist_1_joint,target_wrist_2_joint,target_wrist_3_joint,actual_shoulder_pan_joint,actual_shoulder_lift_joint,actual_elbow_joint,actual_wrist_1_joint,actual_wrist_2_joint,actual_wrist_3_joint
1780435487.144347906,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0010017501263242538,-1.5086686030451428,1.625759145937568,-3.00945443377104,-1.424261806612201,-0.6738116782676348
1780435487.194267750,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.000512681023085727,-1.5101347265974727,1.6253187871552914,-2.9958797809984565,-1.4147035293917307,-0.673811678267628
1780435487.244268894,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,-0.00027339714544159,-1.5102396588790432,1.6261026188958985,-2.9982235308027003,-1.39939397281332,-0.6738116782685639
1780435487.294146061,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.00014818460769702024,-1.5092281184099914,1.6262514947723061,-3.005778525555228,-1.4027581293621951,-0.6738116782678822
1780435487.344234943,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0012295790609997206,-1.5096454121706984,1.6246486388098211,-2.993862324987194,-1.418581620249345,-0.6738116782678043
1780435487.394173622,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0012868134236948597,-1.5093723535582146,1.625256672552968,-2.9981580759459,-1.424522985010586,-0.6738116782683167
1780435487.444343328,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0005482671682854345,-1.5090717084234457,1.626540257714384,-3.006931348079448,-1.418617351116634,-0.6738116782675619
1780435487.494125128,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,-0.00016046222910240458,-1.510312157986223,1.625845770615599,-2.994902451752656,-1.4061013575546077,-0.6738116782677636
1780435487.544243574,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,-0.00010389766668929409,-1.5099073525033138,1.6257924754001836,-2.9976333684106584,-1.4042469411091607,-0.6738116782686656
1780435487.594211578,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0006555952221914095,-1.5088080129684371,1.6257178976480005,-3.004864580600428,-1.4131171920914258,-0.6738116782678295
1780435487.644221783,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0012167945887911747,-1.5095470916820775,1.6247034806313787,-2.9933129583468077,-1.4187559482226213,-0.6738116782676146
1780435487.694209814,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,0.0005688515003356993,-1.5098880022659937,1.6257950973030337,-2.9953216894377634,-1.4111725769918833,-0.6738116782683445
1780435487.744122982,5.697149010130964e-05,-1.570770059641383,1.5707700438682617,-3.1415926528033435,-1.5710016420298478,0.0,-5.478908339671928e-05,-1.5093698775246898,1.6268506208018916,-3.00437598168838,-1.4035382579906603,-0.6738116782677782
