time,q1,q2,q3,q4,q5,q6,dq1,dq2,dq3,dq4,dq5,dq6,vx,vy,vz,wx,wy,wz
37.27,0.004516962936452361,-1.5678305558042376,0.005416378815172189,-1.5667467560344948,0.004966919221550224,0.006761328303186577,0.171663559921991,0.08244798978010845,0.20584514046670102,0.12363693228794717,0.18876378828753207,0.2569588687931987,-0.022159112555226342,-9.751070369600492e-05,-8.764619801925696e-05,0.00012962759232565293,-0.2182302074024009,0.11759167202538061
37.32,0.01740487999348671,-1.561640640751946,0.020870532844180133,-1.557464515068866,0.019138663346682256,0.026052927460403275,0.3057795277512969,0.14686231248911175,0.36666622707979446,0.2202310308965178,0.3362396892188523,0.45771369058477934,-0.0913508136844971,-0.0018705716849455275,-0.0015490956080555832,0.005344557035031598,-0.8998240744287294,0.48485768050164196
37.37,0.03519062974861638,-1.5530905549020992,0.0421739904558242,-1.5446485451575542,0.038685725382340004,0.052591681397104816,0.3832584600493358,0.18437094012769512,0.4586688557773293,0.27626809682995684,0.4210409942688881,0.5704866630799241,-0.13441251628257378,-0.007059464852741517,-0.005764397616257239,0.021920797250741392,-1.3242202113504298,0.7142389272217704
37.42,0.05581151092217636,-1.5431643348384425,0.06683303327797627,-1.5297791958975984,0.06133104528652023,0.08321806775944399,0.42868176408783,0.20641879383849357,0.5124306553870618,0.3091664922369355,0.4706800015606879,0.6359770206867522,-0.1588397754347328,-0.014998685527101539,-0.01220539703425623,0.047384184372855465,-1.5655970712422307,0.8466634599535732
37.47,0.07801669578995225,-1.5324531865960818,0.09331883144882681,-1.5137498004964105,0.08568650292800792,0.11595788058661878,0.4520904975640499,0.2183864328986058,0.5382978126999713,0.32659919991550485,0.49545544081620246,0.6632365359334764,-0.17209291574433425,-0.024496742544839193,-0.01993185462001781,0.0776018270488208,-1.699832890706644,0.9225951841581987
37.52,0.10104398594650081,-1.5213134801063657,0.12068798509203314,-1.4971016448004661,0.11090106901303905,0.14956647667396786,0.46526192878622386,0.22525261604343824,0.552450569046257,0.3365127216678424,0.5092197212937052,0.6771558223237807,-0.1778065473663165,-0.03452106291141882,-0.02812556261305259,0.10855515970140167,-1.7606528408976636,0.9614245545423238
37.57,0.12442312432381268,-1.5099619908804112,0.1483495100690969,-1.4801662669154896,0.1364457067966519,0.1832461098660539,0.4679622904022771,0.22773834350882335,0.5520955003893154,0.3393965450056037,0.5106121636918342,0.6685782782924249,-0.17930022215983893,-0.044583374388724485,-0.0364256171648812,0.1388148122098008,-1.7840526740146363,0.9807853248976611
37.62,0.14784132812645642,-1.4985375675536075,0.17589420618057955,-1.4631599695017508,0.16196146240660278,0.21640959732117826,0.46858818050418133,0.22890686353359496,0.550223716579693,0.340532788389083,0.5101494254405006,0.6603088045793718,-0.1771344781662985,-0.05408995519061185,-0.044347549521621975,0.16539101452316696,-1.77114037328444,0.9827999360246388
37.67,0.17110655412113274,-1.4871247012733826,0.20306941481382476,-1.44621500755559,0.18722721168069464,0.24869456975071547,0.46226729213521717,0.2275209251911882,0.5376981393868222,0.3372812111897098,0.5010230402401291,0.6336213808051528,-0.17343075811187497,-0.06311993216411588,-0.05199517604111748,0.18950504256307785,-1.747558038024471,0.9787141401379886
37.73,0.19858400793359363,-1.4735465311168487,0.23486812712029392,-1.4261240821520875,0.21693688530038865,0.2857919690816041,0.4569862374263841,0.22635593128792386,0.527256773290625,0.33455884228073124,0.49340810178738465,0.6114156770004546,-0.1666425001717172,-0.07175987651631942,-0.059447263482071945,0.2091881692959014,-1.6935079143264116,0.9602924102882924
37.78,0.2210271465644724,-1.4623506254643504,0.26052715469321835,-1.4096311172725986,0.24106496500011412,0.3150092401676927,0.4443317381689454,0.22255836832096648,0.505329240765273,0.3272380270566401,0.4765117246828257,0.5692464138335084,-0.15961902622524338,-0.07978180915637498,-0.06652396410994897,0.225279436807674,-1.6401022484306695,0.9416900042351601
37.83,0.2430038922361733,-1.4512946824129023,0.285378023319904,-1.3934079676270346,0.2645703135149411,0.34267232510739043,0.4368593829024006,0.22031594536415572,0.4923812520828592,0.32291515887453226,0.4665345829666388,0.5443458856261173,-0.15169796255555926,-0.08574497401218394,-0.07194438118402334,0.2336682090430707,-1.575622139422748,0.9155609621701738
37.88,0.2643344608078325,-1.4404378614333566,0.30912840534085934,-1.377562947922794,0.28722087533127866,0.3682615345669895,0.42089532611367075,0.21536297178356156,0.46531714074883795,0.31354553170080984,0.4454683034870822,0.49362221375992343,-0.14338868327319926,-0.0907838091209601,-0.0766814622667812,0.23804645006914502,-1.5081111482603855,0.8864004758493707
37.93,0.28507665969889345,-1.4297635867528786,0.33188131518070313,-1.3620632542608009,0.30909502045777243,0.3919812774486212,0.41146871022044473,0.21243829041410273,0.44933605364708934,0.308012860551099,0.43302887611734164,0.4636703927598733,-0.134427740701374,-0.09463168111153591,-0.08045995913144047,0.23693286004809272,-1.4320451923299853,0.8514592924580647
37.98,0.3050484017937698,-1.419331086074825,0.35334136113933534,-1.3470182012572958,0.32995767795342906,0.41331685372888133,0.3927226971159273,0.20653702195271953,0.4179701216990141,0.2969343028067068,0.408453904695105,0.406096935127114,-0.1254190736230689,-0.09755883837291701,-0.0835088471872528,0.23243616861740607,-1.3553831983914602,0.8142544706915416
38.03,0.32432924270426594,-1.4091160819571382,0.3736453874464797,-1.3323814584702705,0.349914602759875,0.4325305084119352,0.38165336383780324,0.20305238193925276,0.39944885254330964,0.2903925252444304,0.39394262982008277,0.37210038412980323,-0.11599732634118463,-0.09922788090830956,-0.08546810301184031,0.22262837812185546,-1.2708783888041324,0.7711988666801495
38.08,0.3427310561087557,-1.399180139275259,0.3924924629943029,-1.318266440671646,0.36872441376609344,0.4491155551482159,0.3604410446990623,0.19630173649180166,0.3643875647514255,0.27778677726307105,0.36629778447531885,0.3091672866696588,-0.10680347780731371,-0.10004349735966381,-0.08669301689837199,0.21033022255952416,-1.1875140300882292,0.7266577935322156
38.13,0.3603510704002964,-1.38949299770701,0.41004732322519105,-1.3046160190601659,0.38651534911680285,0.4633811459377718,0.3479153823707968,0.1923155478619478,0.34368422492386297,0.2703432091378645,0.34997377974773375,0.27200592195071394,-0.09740100487516087,-0.09958797415573523,-0.08673220634593563,0.19311317595434452,-1.0966822234600984,0.6763351975749284
38.18,0.376995062634324,-1.3801190887237524,0.42600548135299016,-1.2915481800413637,0.403040495726009,0.47483701132576106,0.3244934552717804,0.18478003515258967,0.30548602095934724,0.2563444095060789,0.3196426548129296,0.20519527535482637,-0.0884495715847872,-0.09840017944174666,-0.08607869656140289,0.17440270482166845,-1.0083326732199613,0.6254572395488898
38.23,0.39277581866537714,-1.3710229078434444,0.44055581029508534,-1.278996279382038,0.418447761427766,0.4838305102038298,0.31066304153906416,0.18033039025332123,0.28293036350128653,0.2480782583119292,0.3017324288501704,0.16574425664673575,-0.07945939543643261,-0.09597561052921412,-0.08418722179406347,0.15126546370869776,-0.912752330766955,0.5690848940326189
38.29,0.4102881148262474,-1.3605773370524634,0.4557401770402639,-1.2647952817368848,0.4351108891562596,0.49076412057597396,0.28186989059686873,0.1710340685767304,0.23646855795077543,0.23082024618738656,0.2646153701719948,0.08660428090025675,-0.07007747883181632,-0.09235882489421773,-0.08113442887401223,0.12435556193937625,-0.8084894759870381,0.5057924745024089
38.34,0.42390085953022083,-1.3521835067087984,0.46679614072324443,-1.2535445354579515,0.4477255371862406,0.49380266093074976,0.2638267421750313,0.16509723411602334,0.20776190852041382,0.21991333383759526,0.24152687235578768,0.03865537130507281,-0.06154415640205055,-0.08834710477599785,-0.07755906901116609,0.09626773454809841,-0.7079730592707566,0.4435507321022501
38.39,0.43630791299955624,-1.3441880985734522,0.47594809048290015,-1.2430245014404595,0.4588025167482485,0.4937146245527465,0.2393920533652303,0.157013848283606,0.16924926695231438,0.2050947965001845,0.21039126212404477,-0.0243036622053929,-0.0535022497988971,-0.08289883272577209,-0.07242754327160895,0.06525958020341945,-0.6025689150053821,0.3779845886959896
38.44,0.4477678408893063,-1.3365063309894083,0.48360932279595514,-1.2330791741029934,0.4686734171813982,0.49119682374007867,0.22030730074206323,0.150668680646285,0.1393779992169861,0.19348898341546664,0.18615117646509458,-0.07241560105181195,-0.0467051912372417,-0.07788700202842723,-0.06763837310982342,0.03786123397062929,-0.5113989532004751,0.3201310651657592
38.49,0.4579589157101444,-1.3292493266309815,0.48930375584974906,-1.2239083781899356,0.47693991234631344,0.48557782531414545,0.1946261900938089,0.14205639712450477,0.09967144317166088,0.1777974529415997,0.1537163974625044,-0.13467094041473185,-0.03963047233683565,-0.07114619214799449,-0.06098216743416631,0.004586356798182199,-0.4046249125420346,0.25300946485468995
38.54,0.46715535231064564,-1.322326285064855,0.49346285859418676,-1.2153457199428972,0.48395115359004576,0.4775600381637696,0.1746479736278367,0.13531599662577384,0.06903417385927392,0.16555054231438907,0.12857988983368515,-0.18186331199499794,-0.033747455000617516,-0.06504768289890586,-0.05488433508290848,-0.02459600808886851,-0.31239587723286844,0.19445008256133994
38.59,0.47503088381689074,-1.315852643768521,0.49561952164862816,-1.2075964748013468,0.48930925174435397,0.46653615635424006,0.14795191403421262,0.12621367377857684,0.02868647872286389,0.14909169375260303,0.09521566108632978,-0.24201559287537183,-0.02761910573171975,-0.057295904339977444,-0.04700662177783686,-0.05898838719499292,-0.20531488837892192,0.12747066648718003
38.64,0.48187327658057844,-1.3097317494862604,0.49621764881939723,-1.200484662247019,0.4933772708582851,0.45319837898876675,0.12726501382701144,0.11911157181861932,-0.0022869584202536587,0.13629021721915455,0.06947338144305783,-0.2872278239149216,-0.02258007855589845,-0.05036803498886198,-0.03990855108250373,-0.08898688926351211,-0.11293658347972133,0.06967406691122446
38.69,0.48735536349111075,-1.304082371122734,0.49480609786405094,-1.1942190247151012,0.49576290560953057,0.4370171473886558,0.09981198319774678,0.10957177409853389,-0.04270186813673112,0.11918983627886914,0.03557521156358698,-0.3439257221387128,-0.017281979856243895,-0.04187516596177348,-0.031171757079410774,-0.12343213689083653,-0.006681206713408578,0.004381108287330488
38.74,0.4917718596027473,-1.2988087626816862,0.4918416112654358,-1.188621431465389,0.4968398161318497,0.4186868234089951,0.07866182801285812,0.10221990791699505,-0.07364337396714551,0.10600193586547439,0.009524028024900868,-0.38645250868709935,-0.012923120046335343,-0.03432353920137117,-0.02341000537926097,-0.15302618851037433,0.08456376963660732,-0.051187522199357904
38.79,0.49480761978140464,-1.2940170320192006,0.4868796355674759,-1.183887345569633,0.4962240374531907,0.3977001868155005,0.05070509390956883,0.09227307998284065,-0.1135163028572429,0.08836762672400993,-0.02449707364647262,-0.43829548080612,-0.008278204425649553,-0.025386474878960397,-0.01423673267613249,-0.18687010378615623,0.1892732752426737,-0.11376558540105636
38.84,0.4967630723184884,-1.2896102847489246,0.4803805338618838,-1.1798352895813489,0.4942950200086126,0.3747269835917546,0.029203217475776234,0.08456116790406823,-0.14381820140507495,0.07474458620611911,-0.050522238456949406,-0.4764929608237048,-0.004405317423325685,-0.017492784768804066,-0.006221361029076802,-0.21561249460897786,0.2789746098958955,-0.16642631289433862
38.89,0.49731961337812663,-1.2857110252456498,0.47194401116479795,-1.1766751677264389,0.49068594251408154,0.3494248814684251,0.0010505596213227675,0.07431729922353793,-0.182625790135597,0.056764559106364354,-0.0842624893084742,-0.522523668230564,-0.00014215913062166327,-0.008245179255836257,0.003026071718122031,-0.24688808621826558,0.3800367579943436,-0.2247311687821353
38.94,0.4967890209602177,-1.2822080777312708,0.4620130580209469,-1.1742100671478808,0.48577558390177245,0.3223636543259754,-0.020527496807662124,0.06639189829028772,-0.21195546692447975,0.04291241335308568,-0.10996115067737644,-0.5559665276457318,0.0034971263750118485,-0.00019262177958224698,0.01092484966000402,-0.2734968313696264,0.466967258265388,-0.27358870305947824
38.99,0.49486150764043346,-1.2792251119060918,0.4502221883570834,-1.1726483760215136,0.4792167099952137,0.2933093742498784,-0.04860284762753692,0.0559040764946183,-0.24912688780964085,0.024719841279464642,-0.14301133385754744,-0.5950962966825322,0.007619017348190943,0.00908653435328788,0.019813396032347084,-0.3014271613324572,0.5637119211599841,-0.32720878422638017
39.04,0.4918506001802812,-1.2766477100421738,0.4370015447100418,-1.171789527462333,0.4713842927910725,0.2627649411654555,-0.0700462433413094,0.047808537611565324,-0.2770550213377603,0.010743414391448852,-0.1680720416564866,-0.6230010493675218,0.011272419442166033,0.017091820151570042,0.027227894568856874,-0.32468859402959604,0.646852072273476,-0.371758223645091
39.09,0.48745854452806725,-1.2745997283737336,0.42202551539744587,-1.1718385201382138,0.4619548618221568,0.23060925608139177,-0.09776657829117015,0.03713951204771517,-0.31205123063473617,-0.007518754354172387,-0.20003217487996583,-0.6543319592427302,0.015497093375331571,0.02617134569146805,0.0353784553493167,-0.3479337109599428,0.7381026131493278,-0.4202712017253375
39.14,0.48199755539461747,-1.2729641282547517,0.4057050954193959,-1.1725926464150662,0.4512950373402341,0.19726656143408774,-0.11886271771108184,0.02892305812790534,-0.33817352977676735,-0.021508875961175747,-0.22415171784233529,-0.6760606164102724,0.01938498228666429,0.033909026511842175,0.04197260129745767,-0.36655696658518666,0.8164358016524662,-0.46027960213344565
39.19,0.475184929583784,-1.2718640947395807,0.3877591639991145,-1.1742517910023411,0.43910901541843655,0.16273101774133475,-0.1459520444289413,0.018139561959190108,-0.37048964630019215,-0.03969432116654913,-0.25463530656092237,-0.6988823650539,0.023914129676616797,0.042540366378893885,0.049050965093116475,-0.38374753496296643,0.901008174839435,-0.5035607532877099
39.24,0.46732847525979143,-1.27118067826061,0.36857361800279936,-1.1766127079105482,0.4257506286685288,0.12733851170701257,-0.16649072061999431,0.009853857334448612,-0.39442949164322466,-0.05358578179916596,-0.2775220339306927,-0.71394300498232,0.028204990476451235,0.04977002820582241,0.05453824555394983,-0.3964368033742772,0.9734796155642238,-0.5390616294473318
39.29,0.4581633795508598,-1.2710355819050734,0.34791584759676,-1.1798685272245284,0.4109553128076142,0.09119849371944676,-0.1926787132342032,-0.0009756591319421634,-0.42360018442973496,-0.0715478250098159,-0.30616054036469464,-0.7277407368622912,0.033174904240725556,0.05768525919829232,0.06027320606613383,-0.40628475420855426,1.0501400803562708,-0.5772786041667152
39.34,0.4480086429560442,-1.2713073486907416,0.32617880621190526,-1.183809203088005,0.3950879781682632,0.05461145048717886,-0.21266230858989887,-0.009292857656965883,-0.44543203495591105,-0.08531619258984564,-0.3278504776051231,-0.7364666278838026,0.03788734182604457,0.06401545674528895,0.06430336000472166,-0.41110914875646176,1.1134433369392007,-0.6073818280328791
39.39,0.43657501890327854,-1.2721186514054617,0.30309084889141463,-1.188638558719633,0.3778506842126203,0.01765371270525101,-0.23760249364061767,-0.02009319148264829,-0.4708659384403286,-0.10287370687019744,-0.3541696469311663,-0.7406541157960772,0.04346188851666902,0.07112261031837556,0.06868729853774792,-0.41365237234327495,1.1839194626769454,-0.6426609451416531
39.44,0.4241818107402314,-1.2733468574514313,0.27903092446226535,-1.194144717272671,0.3596034487035058,-0.01944064557137883,-0.2563685379179095,-0.028355411380270427,-0.4893421746220417,-0.1162117365568542,-0.37370334129885874,-0.7413554714277063,0.048756828755572294,0.0765303735059585,0.07135326647295731,-0.41113492915173916,1.2407822088389038,-0.670075452762651
39.49,0.4106064490332299,-1.2751084586380559,0.25387012661104114,-1.200503200564152,0.34015142956417166,-0.056345742784750685,-0.2799511624037588,-0.039067599837756165,-0.5109543528458905,-0.13328168283951247,-0.3975949423178588,-0.7362872206269243,0.05467684592534805,0.08216363325572261,0.07389900156165954,-0.4035431207957024,1.2973324067379315,-0.6996274002505155
39.55,0.39312665605568387,-1.2777749933160125,0.2226307666554189,-1.2090046283152058,0.31562286478160106,-0.10023128897470528,-0.30331392366585624,-0.049892879707642425,-0.5312135098910308,-0.15040216275309493,-0.4207971549713531,-0.7270817826458902,0.060889895950726934,0.08649813560623011,0.07497698169193631,-0.3907180875400227,1.346691497979193,-0.725193364254532
39.6,0.3773598549998154,-1.2805676107703547,0.1956208373295428,-1.2169817836448515,0.29401683547113017,-0.1361060207884258,-0.32324399978293905,-0.05942633432854511,-0.5471578778468409,-0.16527955291919882,-0.44003442198073417,-0.7145262363448631,0.06792256980777488,0.09112349238594497,0.07602677994150726,-0.37219872872900944,1.3964905104573975,-0.7555718117989993
39.65,0.3607322044588625,-1.2837697978550338,0.1679232482467156,-1.2256004147692148,0.271579717511707,-0.17143019131060422,-0.3411079758674727,-0.06841603154047379,-0.5595945283224791,-0.1790113557394198,-0.45649524796886914,-0.6970457542397015,0.07400052879881301,0.09355561910245978,0.07553761678476419,-0.3539212258986819,1.4337488844638486,-0.7783772513426798
39.7,0.3431004736002675,-1.287488025560001,0.13957677279061292,-1.235000901153639,0.24823822286191852,-0.2056010707791233,-0.35906384534762203,-0.0776824684760842,-0.5710207499380227,-0.1930287601204016,-0.4725942600143391,-0.6758161919436606,0.08053681665567226,0.0959768780770999,0.07485413494798171,-0.3280411976199729,1.46345281672338,-0.8034462846322035
39.75,0.3247202568420868,-1.2915983788220267,0.11077974313760186,-1.2449910700153666,0.2242364897062486,-0.23880339311503682,-0.37534735576044775,-0.08646955508375015,-0.5796960257365715,-0.20609248357863316,-0.4864833367714315,-0.6510861144478366,0.08650805003903853,0.09653108305396,0.07283620028943419,-0.30241682466563596,1.4852079073790498,-0.8231578958903175
39.8,0.3054750969792681,-1.2962004900990467,0.0816187811291031,-1.2556969459019949,0.1995384467871479,-0.27037869563655276,-0.38737712627601684,-0.09440358262986562,-0.5810699247916788,-0.21695216427366437,-0.4945594290869984,-0.616584818744506,0.09292473957430965,0.0970999165463998,0.07075681647499679,-0.27055423489270747,1.4996429315201434,-0.8469002102161178
39.85,0.28554016614766997,-1.301187613295691,0.05215210166606001,-1.2669684581477008,0.17427788444672745,-0.3007091545967432,-0.406684771064416,-0.10419404405174135,-0.5926730080948588,-0.23199497703075303,-0.511648124780555,-0.5916648279940119,0.0983945992631665,0.0956471805959293,0.0673826799726305,-0.23994968677094647,1.5037707401431806,-0.8631803164020415
39.9,0.2647600444059144,-1.306674058111276,0.022432688121279066,-1.2789586023971136,0.14837972591163762,-0.32913743244968935,-0.4205764505662162,-0.11281607732151847,-0.5953449950401304,-0.2441579109279615,-0.5214855212356685,-0.555681449745407,0.10488721198413306,0.09480306978359593,0.06445023095425084,-0.2058182669999307,1.5088042862051663,-0.8899870855419436
39.95,0.2434060138555001,-1.3125245424704457,-0.007364714206138847,-1.2914583408243376,0.12208907306403217,-0.35598273614204806,-0.432836074960968,-0.12093857141720227,-0.5955803479237566,-0.2553574077835925,-0.5292552193913768,-0.5176104763311674,0.11023853724143555,0.09195506703999483,0.0603404583936988,-0.17411933578883254,1.503665596785614,-0.9083345413219928
