time,target_shoulder_pan_joint,target_shoulder_lift_joint,target_elbow_joint,target_wrist_1_joint,target_wrist_2_joint,target_wrist_3_joint,actual_shoulder_pan_joint,actual_shoulder_lift_joint,actual_elbow_joint,actual_wrist_1_joint,actual_wrist_2_joint,actual_wrist_3_joint
1780433492.608619452,3.161362434922488e-05,-1.5707817424724038,1.570781748180099,-3.1415926534901626,-1.5709102561891308,0.0,-0.013016841948183202,-1.5600954866176728,1.5803896418847978,-2.963998871229435,-1.5846951320408933,0.0057896402541620425
1780433492.658590794,-3.470265813643181e-05,-1.5707862578573408,1.5708148364340537,-3.1416956476754896,-1.5706712666981497,0.0,-0.011820552707967053,-1.5619693623820536,1.5823143689564527,-2.963465327964923,-1.5860854293407163,0.005944196143654728
1780433492.708650827,-0.0002607076014893295,-1.5708928592926554,1.5709186997255398,-3.1416857932077873,-1.5698568391160315,1.6802497173157602e-08,-0.010403178610004544,-1.5641219097791783,1.5845075335057424,-2.962824549852222,-1.587661656093748,0.006136792960573168
1780433492.758536100,-0.0006257582240438708,-1.5710629330642103,1.5710862666286156,-3.14167685055535,-1.5685414954441468,3.700432662459234e-08,-0.008795410540838041,-1.5666919827525252,1.5870980561250683,-2.9620389196282413,-1.5894739239389222,0.006373196101806731
1780433492.808743954,-0.0010850609557691016,-1.5712755237339255,1.5712965314211467,-3.1416687043500966,-1.5668867986402324,5.828354551198638e-08,-0.007138075740183494,-1.569544284999588,1.5899538111715088,-2.9611529014171802,-1.5914053133072137,0.006641163164814878
1780433492.858513355,-0.0016077925507804736,-1.5715161878946189,1.5715350091278035,-3.141661254210436,-1.5650039310982002,7.824147943703865e-08,-0.005526438033516608,-1.57256893581114,1.5929671687441007,-2.960200864261683,-1.5933747116921173,0.006931634685001317
1780433492.908715487,-0.0016077925507804736,-1.5715161878946189,1.5715350091278035,-3.141661254210436,-1.5650039310982002,7.824147943703865e-08,-0.0040222822498853,-1.5756772685707219,1.5960510703358328,-2.9592090175138472,-1.5953281921179039,0.007238165163668866
1780433492.958798170,-0.0021719367581489735,-1.5717746310939464,1.571791373275268,-3.14165441488817,-1.5629722953774179,9.566078209471145e-08,-0.0026614369953765226,-1.5787991753024802,1.5991365571500298,-2.958196758282106,-1.5972321343327454,0.00755655727441634
1780433493.008629799,-0.0027618412984704577,-1.5720435695175157,1.5720583162357926,-3.1416481144241573,-1.5608483247010358,1.1004077340792728e-07,-0.0014642569792119552,-1.5818790779208767,1.6021689705787894,-2.9571788651785686,-1.599065626409342,0.007883889252909084
1780433493.058727980,-0.0033654713572657258,-1.5723174542737492,1.5723302723988353,-3.141642292553632,-1.558675386091636,1.2126757998838168e-07,-0.00044063101333652603,-1.5848734543808876,1.6051055922575117,-2.9561666344830866,-1.6008164974563595,0.008218111850951072
1780433493.108545303,-0.003973165561897751,-1.5725918879157232,1.572602833598536,-3.1416368991734114,-1.5564882690060244,1.2126757998838168e-07,0.000591856897901628,-1.5884460534126275,1.6085927182783377,-2.9549221487257915,-1.6028807400124738,0.008643505622826035
1780433493.158502102,-0.004576933856499821,-1.5728632913450573,1.5728724150162845,-3.1416318929445364,-1.5543157206655431,1.3481375738275725e-07,0.001224040223729078,-1.5911387026189239,1.6112072864744287,-2.95395079317244,-1.604431131472344,0.008988844828158765
1780433493.208689451,-0.004576933856499821,-1.5728632913450573,1.5728724150162845,-3.1416318929445364,-1.5543157206655431,1.3481375738275725e-07,0.001691466254552868,-1.593666263255404,1.6136489740151556,-2.9530058734752846,-1.6058941846546322,0.009338096406637074
1780433493.258542776,-0.00516997382588702,-1.5731286729409728,1.5731360234695542,-3.1416272400931726,-1.5521821932865159,1.3481375738275725e-07,0.0020030700189466815,-1.5960182276542598,1.6159080635413416,-2.9520906147390957,-1.607273645968017,0.009690988525861819
1780433493.308641434,-0.005746344618357213,-1.573385471431358,1.5733910995672313,-3.1416229133698668,-1.5501090226830403,1.3481375738275725e-07,0.002169082042405667,-1.5981887444706562,1.6179795096794192,-2.951207298912843,-1.6085743833890904,0.01004740939444087
1780433493.358691931,-0.00630121307441911,-1.5736316540736723,1.5736356145994883,-3.1416188904646907,-1.5481135478876045,1.3481375738275725e-07,0.0022021359666171965,-1.600176347519974,1.6198626342377178,-2.950357360508389,-1.609802045069073,0.010407312220858009
1780433493.408610821,-0.006832958884559481,-1.573866629463807,1.5738689790499323,-3.141615149446067,-1.5462015474319815,1.3481375738275725e-07,0.0021176056677070904,-1.601983506285121,1.6215606524662614,-2.9495415528419127,-1.6109624919444503,0.01077058866054219
1780433493.458623171,-0.006832958884559481,-1.573866629463807,1.5738689790499323,-3.141615149446067,-1.5462015474319815,1.3481375738275725e-07,0.0019302916404733334,-1.6036149795919643,1.6230790686326653,-2.9487603405352885,-1.6120609495030798,0.011137045252165089
1780433493.508541584,-0.007341682791477844,-1.5740905651716988,1.5740913606121363,-3.1416116688988858,-1.5443726125223574,1.3481375738275725e-07,0.0015711324033038255,-1.60541705827307,1.6247354652171917,-2.947832954479459,-1.6133525925059249,0.011599165613433703
1780433493.558494806,-0.007827503747815712,-1.5743036302243087,1.5743029286276158,-3.1416084296598665,-1.5426262724527469,1.3481375738275725e-07,0.0011977652918428554,-1.6066780851472808,1.6258773589865367,-2.947130551486572,-1.6143247216000236,0.011971699962092911
1780433493.608619928,-0.008290488080509029,-1.5745059643142243,1.5745038233688622,-3.1416054146946077,-1.5409622490140213,1.201502996873846e-07,0.000758809605575131,-1.6077876330660592,1.6268662424126712,-2.9464633110036456,-1.6152450533476823,0.012346342520699294
1780433493.658663511,-0.008730670619829795,-1.5746976874910246,1.5746941656722488,-3.1416026088607403,-1.5393803802470227,1.201502996873846e-07,0.0002632021271602485,-1.6087546216497763,1.6277117036072766,-2.9458311586431107,-1.6161154777202795,0.012722672214361555
1780433493.708559513,-0.009148067530103887,-1.574878906034634,1.5748740627595936,-3.1415999986947725,-1.5378805740996313,1.0812912926569317e-07,-0.00028098383066611,-1.609588245686301,1.6284235610908382,-2.9452339143045876,-1.6169376161771807,0.013100241670183786
1780433493.758886337,-0.009148067530103887,-1.574878906034634,1.5748740627595936,-3.1415999986947725,-1.5378805740996313,1.0812912926569317e-07,-0.0008664032937651426,-1.6102978045253344,1.6290116918040065,-2.944671298472012,-1.6177129615924302,0.0134785842793462
1780433493.808882952,-0.009542691035786532,-1.5750497190103845,1.5750436147334863,-3.141597572206674,-1.53646275532755,1.0812912926569317e-07,-0.0014852540333491905,-1.6108907681511484,1.6294842125664113,-2.9441434412409055,-1.6184416895376341,0.01385725062830889
1780433493.858628988,-0.009915900234735098,-1.5752107992629831,1.5752034926124798,-3.1415953157977903,-1.535122012827955,9.552718560950728e-08,-0.002126202635431525,-1.6113674170951011,1.6298424705305758,-2.9436523605162708,-1.6191202755509386,0.014235868436671824
1780433493.908650637,-0.010276449694662126,-1.5753659805271045,1.575357511357841,-3.141593199934742,-1.5338268754462092,9.552718560950728e-08,-0.002729844226613464,-1.6117851729841375,1.6301405144535985,-2.9431775305652117,-1.6197894469093934,0.01462097092010853
1780433493.958803654,-0.010640894545634438,-1.575522391286019,1.5755127604888362,-3.141591176203183,-1.532517868535347,8.35181795703618e-08,-0.003277101755008313,-1.612166492581201,1.630400175034113,-2.942712376124843,-1.6204563064824449,0.015014558821694968
1780433494.008664846,-0.010640894545634438,-1.575522391286019,1.5755127604888362,-3.141591176203183,-1.532517868535347,8.35181795703618e-08,-0.003793322604682988,-1.6124930765936751,1.6306056366364123,-2.942266858121641,-1.6210928141330276,0.015413063944305656
