Zaman_s,Roll_Derece,Pitch_Derece,Yaw_Derece
88.0,94.41288334636923,0.011057683202498978,90.26296835553667
88.05,94.41288334636762,0.011057683202301783,90.26296835553508
88.1,94.41288334637527,0.011057683200151729,90.26296835554069
88.15,94.41288334637835,0.01105768319809391,90.26296835554261
88.2,94.41288334637974,0.011057683196843953,90.26296835554267
88.25,94.41288334638081,0.011057683195880245,90.26296835554224
88.3,94.41288334638034,0.011057683195508119,90.26296835554099
88.35,94.41288334638053,0.01105768319694891,90.26296835553934
88.4,94.41288334638395,0.011057683198472397,90.26296835554035
88.45,94.41288334638432,0.01105768319970009,90.26296835554164
88.5,94.41288334638162,0.01105768319958559,90.26296835554227
88.55,94.4128833463773,0.011057683199420201,90.26296835554129
88.6,94.41288334637765,0.011057683197928521,90.26296835554278
88.65,94.4128833463775,0.01105768319791898,90.26296835554143
88.7,94.41288334637879,0.011057683197079313,90.2629683555418
88.75,94.41288334638057,0.01105768319620466,90.26296835554245
88.8,94.41288334638044,0.011057683195714856,90.26296835554187
88.85,94.41288334638173,0.011057683195129633,90.26296835554228
88.9,94.41288334638291,0.011057683195616258,90.2629683555415
88.95,94.41288334638257,0.011057683195584454,90.26296835554191
89.0,94.41288334638254,0.011057683196096521,90.26296835554153
89.05,94.41288334637748,0.011057683198287925,90.26296835553735
89.1,94.41288334637701,0.011057683198122536,90.26296835553896
89.15,94.4128833463762,0.011057683197340119,90.26296835554005
89.2,94.41288334637755,0.01105768319654498,90.26296835554123
89.25,94.4128833463783,0.011057683199165757,90.26296835553833
89.3,94.41288334637704,0.011057683201287187,90.26296835553838
89.35,94.41288334637689,0.011057683200285313,90.26296835554153
89.4,94.412883346379,0.01105768319781402,90.26296835554494
89.45,94.41288334638124,0.011057683195536745,90.26296835554663
89.5,94.41288334638115,0.011057683194356759,90.26296835554525
89.55,94.41288334638132,0.011057683194633466,90.26296835554305
89.6,94.41288334638077,0.0110576831951678,90.26296835554186
89.65,94.41288334637954,0.011057683196039272,90.26296835554035
89.7,94.41288334638305,0.011057683196459105,90.26296835554216
89.75,94.41288334638638,0.011057683195593995,90.26296835554525
89.8,94.41288334638628,0.01105768319493562,90.26296835554514
89.85,94.41288334638269,0.01105768319637641,90.26296835554162
89.9,94.41288334638234,0.011057683195718036,90.26296835554253
89.95,94.41288334638234,0.011057683195718036,90.26296835554253
90.0,94.41288334638138,0.011057683197270147,90.26296835554066
90.05,94.41288334638449,0.011057683197422813,90.26296835554315
90.1,94.41288334638612,0.011057683199738258,90.26296835554344
90.15,94.41288334638554,0.011057683198389703,90.26296835554638
90.2,94.41288334638193,0.011057683197651814,90.26296835554534
90.25,94.41288334638283,0.011057683196449564,90.26296835554623
90.3,94.4128833463858,0.011057683197378286,90.26296835554567
90.35,94.4128833463886,0.011057683199496534,90.26296835554523
90.4,94.41288334638539,0.01105768320078784,90.26296835554399
90.45,94.4128833463806,0.01105768320147484,90.26296835554237
90.5,94.4128833463808,0.011057683200597006,90.2629683555443
90.55,94.41288334638173,0.011057683198046201,90.26296835554652
90.6,94.41288334638173,0.011057683196271453,90.26296835554609
90.65,94.4128833463843,0.011057683194302689,90.26296835554717
90.7,94.41288334638632,0.011057683194111856,90.26296835554616
