time,target_shoulder_pan_joint,target_shoulder_lift_joint,target_elbow_joint,target_wrist_1_joint,target_wrist_2_joint,target_wrist_3_joint,actual_shoulder_pan_joint,actual_shoulder_lift_joint,actual_elbow_joint,actual_wrist_1_joint,actual_wrist_2_joint,actual_wrist_3_joint
1780433647.224385023,-0.013903671783712213,-1.576904255681125,1.576883142369957,-3.141572059091961,-1.520803864681417,0.0,-0.01437514182972381,-1.620912421238521,1.6679770399103482,-2.9008382428348303,-1.6263099306209856,0.00842526797662187
1780433647.274419308,-0.014668762875984953,-1.577222893174949,1.5771994785599162,-3.141569706602701,-1.5180582937861455,0.0,-0.015071164274017059,-1.6222384639600644,1.6690292391830663,-2.898848130574912,-1.627382664731311,0.006957343884577869
1780433647.324743986,-0.015385588704983633,-1.5775197812906958,1.5774941180396156,-3.1415674102212527,-1.5154863224356419,0.0,-0.0161066216141915,-1.6235252968640639,1.6699866738360514,-2.8965112198343963,-1.6285824367649304,0.00526662600852851
1780433647.374314785,-0.016060023588551076,-1.577797657094207,1.5777697979651208,-3.141565169642903,-1.513066786288105,0.0,-0.01703286061989595,-1.6242822659072838,1.670490583135991,-2.894761295286909,-1.6294409535928538,0.0040311071385408445
1780433647.424290657,-0.016694476047899087,-1.5780577723402711,1.5780277777258678,-3.1415629922699466,-1.5107909731137497,0.0,-0.018038019332817807,-1.6248106859948113,1.6707762264916564,-2.8931208680538054,-1.6302073007810773,0.0028980254143786913
1780433647.474367857,-0.01727784513141195,-1.5782958436889727,1.578263826487071,-3.141560930498541,-1.5086986338074562,0.0,-0.019153818559688337,-1.6250696271235938,1.6708087081488472,-2.8916142636529822,-1.6308380694997446,0.001857049054641298
1780433647.524673462,-0.01727784513141195,-1.5782958436889727,1.578263826487071,-3.141560930498541,-1.5086986338074562,0.0,-0.020338597757630295,-1.6250404125511535,1.6705728174067054,-2.8902539840284858,-1.631317530678678,0.0009056358201440058
1780433647.574438810,-0.017823472255553696,-1.5785175584645312,1.57848359942634,-3.1415589522336087,-1.506741857924708,0.0,-0.021564749197731336,-1.6247631847188497,1.6701066242167875,-2.88903223328554,-1.6316608835238127,4.531091417726377e-05
1780433647.624407291,-0.01833705866215496,-1.5787254109902058,1.5786895807610966,-3.141557047517092,-1.5049001563702369,0.0,-0.02281389117912261,-1.624274986362618,1.6694453676528391,-2.8879420138379293,-1.63187929656446,-0.0007234194583977272
1780433647.674455404,-0.018820437829372594,-1.5789202919804417,1.5788826629985062,-3.141555218619061,-1.5031669196489599,0.0,-0.02407411873103586,-1.6236083856413952,1.668620169419961,-2.886977421569103,-1.631980420033243,-0.0014010396808755408
1780433647.724486113,-0.019270471065738093,-1.5791010768679437,1.579061742822789,-3.141553491782455,-1.5015533705471338,0.0,-0.025350919882329393,-1.6227927161563889,1.6676591840812156,-2.8861340915065634,-1.6319672792197348,-0.0019903098388786727
1780433647.774265289,-0.01967978593668107,-1.5792649593681682,1.5792240485384144,-3.141551898218103,-1.5000859104169786,0.0,-0.02697745361968905,-1.6216022006122985,1.6663041992478218,-2.885244140309441,-1.6317972669162106,-0.0026072704791316303
1780433647.824398279,-0.01967978593668107,-1.5792649593681682,1.5792240485384144,-3.141551898218103,-1.5000859104169786,0.0,-0.02827948821908191,-1.620538146085413,1.6651212741394323,-2.8846571262560143,-1.631549897040548,-0.003005708781973733
1780433647.874553680,-0.020052310830176445,-1.5794136612729393,1.5793712931917268,-3.1415504258108133,-1.4987504264088969,0.0,-0.029565670517278916,-1.6193940553861088,1.663868836316016,-2.8841761225220273,-1.631210533103055,-0.0033207418611094375
1780433647.924359560,-0.020392218135971696,-1.5795489685783881,1.5795052525972606,-3.1415490642221013,-1.4975319379235703,0.0,-0.030824890316458707,-1.6181852389470128,1.662561596593314,-2.8837969554092715,-1.6307829313228643,-0.0035540283757324064
1780433647.974393606,-0.020703048474101315,-1.5796723883809367,1.5796274247265003,-3.1415478041854192,-1.496417734781776,0.0,-0.032049068293084605,-1.616925002722967,1.6612123320744023,-2.8835157853149784,-1.630269098709655,-0.0037076788595652326
1780433648.024465084,-0.020987828545136367,-1.5797852022585488,1.5797390829759266,-3.141546637391368,-1.495396953300964,0.0,-0.03323247885001927,-1.6156248768557777,1.6598320887764735,-2.8833290190180203,-1.6296698609567288,-0.0037841743174112418
1780433648.074358940,-0.020987828545136367,-1.5797852022585488,1.5797390829759266,-3.141546637391368,-1.495396953300964,0.0,-0.034371228437555953,-1.6142948328824858,1.6584303888492828,-2.8832332293318093,-1.6289852856992397,-0.0037863008205368995
1780433648.124407768,-0.021249164390926722,-1.5798885081824867,1.5798413179682316,-3.141545556375877,-1.4944602409266476,0.0,-0.03546302379716281,-1.612943538065128,1.65701547953902,-2.8832250998240543,-1.6282146779302267,-0.003717106890194618
1780433648.174481153,-0.021489315509694684,-1.5799832535998668,1.5799350705327706,-3.1415445544168277,-1.4935994897812996,0.0,-0.036506711333587814,-1.611578477818779,1.655594445454485,-2.8833013799949727,-1.6273570559083104,-0.0035798499590472548
1780433648.224585056,-0.021710254085726355,-1.5800702617143827,1.5800211578948633,-3.1415436254416056,-1.4928076237754517,0.0,-0.03750201034080216,-1.6102060997160983,1.654173343208446,-2.8834588620354302,-1.6264113394139403,-0.0033779578386029926
1780433648.274399757,-0.021913712490953863,-1.5801502524570354,1.5801002945664682,-3.141542763945975,-1.4920784279054322,0.0,-0.038449275250197285,-1.6088319361654095,1.6527573237637128,-2.883694353299077,-1.6253765438105419,-0.0031149946469234565
1780433648.324649096,-0.021913712490953863,-1.5801502524570354,1.5801002945664682,-3.141542763945975,-1.4920784279054322,0.0,-0.03934932050825776,-1.6074607173219206,1.6513507471711633,-2.884004654926791,-1.6242519094017753,-0.002794632639139565
1780433648.374279499,-0.022101221485947065,-1.580223859281089,1.5801731090723607,-3.1415419649244987,-1.4914064109956318,0.0,-0.04040995442423694,-1.605756979940458,1.6496113975690796,-2.8844928559188685,-1.62271872355787,-0.0023192051376524775
1780433648.424292326,-0.022274141287215166,-1.5802916427633287,1.5802401574918352,-3.1415412238101443,-1.4907866940895156,0.0,-0.0412087552410606,-1.604406335518716,1.648238693169171,-2.8849597596814274,-1.6213899271731484,-0.0018835536235538048
1780433648.474590302,-0.022433686805654496,-1.5803541016191929,1.580301934423251,-3.141540536423,-1.490214919791784,0.0,-0.0419652416194221,-1.6030697466408501,1.6468853831611412,-2.8854910208369846,-1.6199702496862636,-0.0014029431744087906
1780433648.524444103,-0.02258094817814893,-1.5804116816430414,1.5803588818817151,-3.141539898927012,-1.489687178525112,0.0,-0.04268123830762162,-1.6017495793099394,1.6455534941238485,-2.8860833905992926,-1.6184600890563758,-0.0008812830143055326
1780433648.574379206,-0.0227169077437841,-1.580464783077602,1.5804113966319095,-3.141539307792826,-1.4891999475636037,0.0,-0.043358598570785827,-1.6004478053661808,1.6442446702306552,-2.8867336022119168,-1.6168602542581219,-0.0003224919518094298
1780433648.624406099,-0.0227169077437841,-1.580464783077602,1.5804113966319095,-3.141539307792826,-1.4891999475636037,0.0,-0.0439991535575022,-1.5991660433569646,1.642960200102105,-2.887438399676766,-1.615171977642691,0.0002695164155122508
1780433648.674442053,-0.022842454407904,-1.5805137668209959,1.580459836362472,-3.1415387597645656,-1.4887500394544482,0.0,-0.04460477849942131,-1.5979056362715163,1.6417011080288453,-2.888194528782713,-1.6133967561853366,0.0008908399889925732
1780433648.724656343,-0.0229583951346104,-1.5805589594005713,1.5805045246339111,-3.141538251833474,-1.48833456075113,0.0,-0.04517730891403202,-1.5966676684162975,1.6404681680158668,-2.8889987457447663,-1.6115364504477514,0.0015376036402354176
1780433648.774420023,-0.023065464801399926,-1.580600657218998,1.5805457551014053,-3.1415377812141685,-1.4879508766323575,0.0,-0.04571852174704515,-1.5954529973509413,1.6392619311167753,-2.8898478322363816,-1.6095932699757776,0.002205970232141703
1780433648.824296713,-0.023164334513834817,-1.5806391301284517,1.5805837950688075,-3.141537345324078,-1.4875965810524008,0.0,-0.04635356495331754,-1.5939684021006117,1.6377922279864234,-2.8909674079505763,-1.6070517232387385,0.0030660417653120085
1780433648.874838114,-0.023255618125245903,-1.5806746242481235,1.5806188882909438,-3.141536941767879,-1.4872694733338445,0.0,-0.04683043753290297,-1.5928083094261192,1.6366471982483703,-2.8919057669135646,-1.6049319182946484,0.0037692484647899424
1780433648.924372673,-0.023255618125245903,-1.5806746242481235,1.5806188882909438,-3.141536941767879,-1.4872694733338445,0.0,-0.04728126411211565,-1.5916730766807365,1.6355295412068984,-2.8928786834352973,-1.6027386788183429,0.004481965171338583
1780433648.974468946,-0.02333987884499855,-1.5807073647689327,1.5806512577604181,-3.1415365683192857,-1.486967534451125,0.0,-0.04770752708865403,-1.5905629005887025,1.6344391946779828,-2.893883082138663,-1.600475449423412,0.005200618184063877
1780433649.024675846,-0.02341763446032985,-1.5807375581796883,1.5806811079200287,-3.1415362229070114,-1.4866889082888513,0.0,-0.04811063168781303,-1.5894778728530818,1.6333760046672712,-2.8949159376336175,-1.5981459117521024,0.005921717528705889
1780433649.074439764,-0.023489361419477994,-1.5807653940190391,1.5807086264044223,-3.1415359036041903,-1.4864318869858186,0.0,-0.04849190818789094,-1.5884179950707438,1.6323397426467825,-2.895974276634648,-1.595753960803373,0.006641864129344381
1780433649.124445438,-0.023555498704346256,-1.580791046519444,1.5807339856734628,-3.141535608617573,-1.4861948970374534,0.0,-0.04885260213403584,-1.587383188108931,1.6313301117349528,-2.8970551870900274,-1.5933036975703232,0.0073577572923974955
1780433649.174633980,-0.023555498704346256,-1.580791046519444,1.5807339856734628,-3.141535608617573,-1.4861948970374534,0.0,-0.04919387259463498,-1.5863733022328317,1.630346754971211,-2.898155825796175,-1.590799411798102,0.00806620126375734
1780433649.224407673,-0.02361645145093938,-1.580814676130986,1.5807573445254948,-3.141535336276763,-1.4859764863056029,0.0,-0.04951683150172027,-1.5853881397982335,1.6293892706968025,-2.8992734365308768,-1.5882454839366755,0.008764108859565124
1780433649.274398804,-0.023672594337145192,-1.580836430936091,1.5807788495016417,-3.141535085023582,-1.4857753118649173,0.0,-0.04982252715588683,-1.5844274553450832,1.6284572253727887,-2.900405335373842,-1.5856464136571085,0.009448508215601477
1780433649.324385643,-0.02372427352735329,-1.5808564474893192,1.5807986357208539,-3.1415348534071734,-1.485590133022849,0.0,-0.05011194042014789,-1.5834909627568035,1.6275501524750344,-2.9015489249084494,-1.5830068002856292,0.010116548057376702
1780433649.374560595,-0.023771809572860292,-1.5808748520141007,1.5808168280676245,-3.141534640076258,-1.4854198009167625,0.0,-0.05038598654747162,-1.582578339882958,1.6266675627994693,-2.9027016897099736,-1.5803313312308194,0.01076550249160302
1780433649.424280643,-0.023771809572860292,-1.5808748520141007,1.5808168280676245,-3.141534640076258,-1.4854198009167625,0.0,-0.050708249147519785,-1.5814705953504928,1.625597987778346,-2.9041518539230373,-1.5769438195040588,0.011545912991353593
1780433649.474408388,-0.023815492715653974,-1.5808917586446505,1.5808335394622164,-3.1415344438190353,-1.4852632753329145,0.0,-0.05095400858043462,-1.580612468676013,1.6247706511326228,-2.9053159936475477,-1.5742060364596449,0.012142606018282638
1780433649.524410486,-0.0238536663647535,-1.5809065281224122,1.5808481381114339,-3.141534272085236,-1.4851264919505969,0.0,-0.0511913485737406,-1.5797886519070872,1.6239773215211315,-2.906478376958325,-1.571455283974153,0.012712722571776967
1780433649.574323893,-0.023884682068809227,-1.580918524884984,1.5808599959049907,-3.1415341323100776,-1.4850153572214735,0.0,-0.051416769631477593,-1.5790093670107632,1.62322770192094,-2.907633564593974,-1.5687041957105803,0.013254718062195102
1780433649.624280453,-0.023910385678719948,-1.5809284647123274,1.5808698204498302,-3.1415340163173737,-1.4849232569226594,0.0,-0.051624542371456535,-1.5782778494107461,1.6225247868601425,-2.908777844236143,-1.5659623092590185,0.0137672887699998
1780433649.674361229,-0.023932829338781048,-1.5809371422148288,1.5808783972213556,-3.1415339149751094,-1.4848428377583112,0.0,-0.05181511933222517,-1.57758779487839,1.621862419774169,-2.9099106685842036,-1.5632318255078488,0.014248457223722104
1780433649.724433184,-0.023932829338781048,-1.5809371422148288,1.5808783972213556,-3.1415339149751094,-1.4848428377583112,0.0,-0.05199109904247569,-1.576932416773932,1.6212339843161054,-2.9110319555976436,-1.5605137180387347,0.014696160832380336
1780433649.774423838,-0.023952233269627143,-1.5809446431950125,1.5808858110619803,-3.1415338273158815,-1.4847733105667489,0.0,-0.05215453819440596,-1.5763060453213598,1.6206339297457466,-2.9121414415764586,-1.557809487110176,0.015108558874034395
1780433649.824481487,-0.023968796929800362,-1.5809510452886473,1.5808921387341413,-3.141533752458948,-1.4847139605966122,0.0,-0.05230642760744384,-1.5757046626021873,1.6200582849347775,-2.9132384696648144,-1.5551216780456403,0.015484126429292058
1780433649.874382257,-0.02398341641231383,-1.5809566952239669,1.5808977229544339,-3.141533686364419,-1.484661576974867,0.0,-0.05244189840881261,-1.5751396822400237,1.6195179677492004,-2.914317812763632,-1.5524628464759993,0.015822583058705802
1780433649.924354553,-0.023996554956701388,-1.580961772271471,1.5809027409105152,-3.141533626909752,-1.484614499823306,0.0,-0.05256333715124367,-1.574614135378292,1.6190158710691278,-2.915377187592283,-1.5498385535398307,0.016122717810498295
1780433649.974401712,-0.023996554956701388,-1.580961772271471,1.5809027409105152,-3.141533626909752,-1.484614499823306,0.0,-0.05267413572621054,-1.5741188421059853,1.6185430681310227,-2.9164177201569124,-1.5472477271900078,0.016383099442333363
1780433650.024497271,-0.02400793612623442,-1.5809661698087893,1.5809070872278208,-3.1415335753398734,-1.4845737196289344,0.0,-0.05277669873288803,-1.5736462057201122,1.6180921444254435,-2.9174402140472218,-1.5446901438202971,0.016602561772882815
