time,target_x_base,actual_x_base,target_y_base,actual_y_base,target_z_base,actual_z_base,target_roll_world_rad,actual_roll_world_rad,target_pitch_world_rad,actual_pitch_world_rad,target_yaw_world_rad,actual_yaw_world_rad
3.450000000,-0.295150000,0.060772883,-0.112350000,-0.139540508,0.480900000,-0.367273666,-1.570796331,1.578586269,0.000000000,0.740017198,1.570796328,-0.665222032
3.500000000,-0.295150000,0.063634683,-0.112350000,-0.140509969,0.480900000,-0.367567283,-1.570796331,1.584630950,0.000000000,0.799932896,1.570796328,-0.604327513
3.550000000,-0.295150000,0.089368006,-0.112350000,-0.142766187,0.480900000,-0.367991008,-1.570796331,1.773462308,0.000000000,1.028020623,1.570796328,-0.061047772
3.600000000,-0.295150000,0.169696535,-0.112350000,-0.094523555,0.480900000,-0.368326537,-1.570796331,2.031791658,0.000000000,1.024575575,1.570796328,0.677329156
3.650000000,-0.295150000,0.281841629,-0.112350000,0.042339787,0.480900000,-0.319304777,-1.570796331,1.756651513,0.000000000,0.373499297,1.570796328,0.867820377
3.700000000,-0.295150000,0.331753643,-0.112350000,0.174143398,0.480900000,-0.207052670,-1.570796331,1.440737294,0.000000000,-0.448195699,1.570796328,1.066290753
3.750000000,-0.295150000,0.340931096,-0.112350000,0.218483014,0.480900000,-0.083493654,-1.570796331,0.748658985,0.000000000,-1.148162720,1.570796328,1.511277093
3.800000000,-0.295150000,0.342659695,-0.112350000,0.183523434,0.480900000,0.006795419,-1.570796331,-1.385388864,0.000000000,-0.913774851,1.570796328,-3.081546303
3.850000000,-0.295150000,0.346762746,-0.112350000,0.130618290,0.480900000,0.059570224,-1.570796331,-1.930117742,0.000000000,-0.236048545,1.570796328,3.064188611
3.900000000,-0.295150000,0.359294459,-0.112350000,0.084226859,0.480900000,0.119468364,-1.570796331,-2.295006422,0.000000000,0.180549416,1.570796328,2.637462348
3.950000000,-0.295150000,0.358059642,-0.112350000,0.029353644,0.480900000,0.191525929,-1.570796331,-2.651617539,0.000000000,0.377517331,1.570796328,2.092924929
4.000000000,-0.295150000,0.334652526,-0.112350000,-0.024236067,0.480900000,0.256220139,-1.570796331,-3.043284753,0.000000000,0.351242082,1.570796328,1.526760267
4.050000000,-0.295150000,0.298850759,-0.112350000,-0.064702302,0.480900000,0.305404570,-1.570796331,2.912008168,0.000000000,0.102530051,1.570796328,1.159258990
4.100000000,-0.295150000,0.263502059,-0.112350000,-0.089721153,0.480900000,0.344488733,-1.570796331,2.595607396,0.000000000,-0.238109609,1.570796328,1.071656897
4.150000000,-0.295150000,0.233519795,-0.112350000,-0.103132463,0.480900000,0.386344463,-1.570796331,2.104804438,0.000000000,-0.502858169,1.570796328,1.277303978
4.200000000,-0.295150000,0.198019361,-0.112350000,-0.109668978,0.480900000,0.442959505,-1.570796331,1.398992078,0.000000000,-0.496590493,1.570796328,1.658127074
4.250000000,-0.295150000,0.136480746,-0.112350000,-0.111870261,0.480900000,0.504435763,-1.570796331,0.770174284,0.000000000,-0.265545418,1.570796328,1.849423617
4.300000000,-0.295150000,0.052437366,-0.112350000,-0.111447334,0.480900000,0.551888163,-1.570796331,0.243675759,0.000000000,-0.050010509,1.570796328,1.835620685
4.350000000,-0.295150000,-0.037736436,-0.112350000,-0.110485218,0.480900000,0.573996480,-1.570796331,-0.224931515,0.000000000,0.061513518,1.570796328,1.746460463
4.400000000,-0.295150000,-0.116680638,-0.112350000,-0.110091944,0.480900000,0.572561967,-1.570796331,-0.614011713,0.000000000,0.089440660,1.570796328,1.662428459
4.450000000,-0.295150000,-0.176948646,-0.112350000,-0.110276770,0.480900000,0.558164250,-1.570796331,-0.915454700,0.000000000,0.078485986,1.570796328,1.609010408
4.500000000,-0.295150000,-0.219331566,-0.112350000,-0.110733649,0.480900000,0.540021370,-1.570796331,-1.139499933,0.000000000,0.057718333,1.570796328,1.581812661
