time,target_shoulder_pan_joint,target_shoulder_lift_joint,target_elbow_joint,target_wrist_1_joint,target_wrist_2_joint,target_wrist_3_joint,actual_shoulder_pan_joint,actual_shoulder_lift_joint,actual_elbow_joint,actual_wrist_1_joint,actual_wrist_2_joint,actual_wrist_3_joint
1780434454.361769438,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.025232582498845826,-1.5460822133459704,1.5899601381528727,-2.942515715714341,-1.5911091106769246,0.019663651910545782
1780434454.411621571,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.025210873721363478,-1.5461011581521156,1.5899461219238646,-2.9425981767697054,-1.5910810450132378,0.019699537653390164
1780434454.461703777,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.02518889511982356,-1.546120481320048,1.5899318847231203,-2.942676037064973,-1.5910535089844842,0.019727307014851796
1780434454.511764050,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.025166659716244207,-1.5461401664566141,1.5899174302869419,-2.942750230661175,-1.5910265515445194,0.019747183171864125
1780434454.561676741,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.025144188398175473,-1.5461601889565486,1.5899027679500461,-2.9428216285608673,-1.5910002103002203,0.019759415343070456
1780434454.611921549,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.02512150228138133,-1.5461805228449048,1.5898879076422587,-2.942891047767655,-1.5909745179189823,0.019764275873215952
1780434454.661651373,3.08331603842138e-05,-1.5707821079773785,1.5707821076099377,-3.141592653589793,-1.570907443531274,-1.8411326685452423e-07,-0.025098612736766408,-1.5462011498202841,1.5898728531290376,-2.9429592680105494,-1.590949509857586,0.01976205697123017
1780434454.711668491,1.0094113063852106e-05,-1.5710753557709012,1.5707639897276953,-3.1404710151156547,-1.570832703879086,-1.8411326685452423e-07,-0.02440867143997919,-1.5454964297104539,1.593315183788586,-2.945767216791261,-1.591589759305176,0.019830906524006292
1780434454.761890173,-0.00013984921382004245,-1.5713342698107313,1.5708141528237265,-3.139719647373629,-1.5702923536763107,-3.886340040892833e-07,-0.022257080694000248,-1.5520690459735649,1.5957042898802272,-2.941579473419235,-1.5948876724261802,0.020258042561665173
1780434454.811689854,-0.0007559549948705779,-1.571119776267996,1.571146279001617,-3.1416883221157788,-1.568072416304683,-9.511555276731087e-08,-0.020140600506870825,-1.5572308666090304,1.5997288861715282,-2.9394444126582155,-1.5980128132574312,0.020693651461652897
1780434454.862069368,-0.001203775776875915,-1.5713272058361545,1.5713510673397946,-3.1416790671699433,-1.5664591589493373,-7.53621858251563e-08,-0.017696611297157296,-1.5625059988375476,1.6053760084488133,-2.938132722263312,-1.6015951956253134,0.021223246249765897
1780434454.911583424,-0.001740567883639521,-1.5715743327278506,1.571595712268803,-3.141670604005153,-1.5645257342356649,-5.5206817783926e-08,-0.01507739620487755,-1.568659415616203,1.6117830970125933,-2.936468523577834,-1.60569941817361,0.0218616854966292
1780434454.961722851,-0.002352086523131902,-1.5718542652161318,1.5718732736005219,-3.1416628237654747,-1.5623236134606664,-3.619743083049798e-08,-0.012440899504032085,-1.5753389755642386,1.6186085804989692,-2.934540174206515,-1.6101266614331302,0.022593278741910867
1780434455.011561155,-0.003051797224644659,-1.5721726723898621,1.572189359030205,-3.14165561034877,-1.5598044892277194,-1.8040034355237822e-08,-0.009593305566524823,-1.5824020170332167,1.6257112146112866,-2.9323528623943034,-1.6148787211150302,0.023444756970858672
1780434455.061508417,-0.004851290352124948,-1.5729830269234197,1.5729948271661507,-3.1416422982880903,-1.5533286417672212,1.931815550817679e-08,-0.006416916869371972,-1.5901454046886307,1.6333702926795428,-2.9297958724746334,-1.6201188430128466,0.02445236619942208
1780434455.111557484,-0.005862832650244343,-1.5734337015252278,1.5734428679878947,-3.141636042343178,-1.5496900680026133,3.407660494512644e-08,-0.0036701471193249964,-1.597933940289047,1.6409810359823394,-2.927095429721982,-1.6252947600953664,0.025523524679535798
1780434455.161669254,-0.006860247390198637,-1.5738748437022139,1.573881309654109,-3.1416300627008846,-1.5461034343306235,3.407660494512644e-08,-0.0020258174819384944,-1.6040870959548812,1.6469332598543418,-2.924860243910037,-1.6293269843577365,0.026417524226307786
1780434455.211736917,-0.007793060883109604,-1.5742845649072335,1.5742883530412688,-3.1416244160260964,-1.542750073231355,4.730111943571471e-08,-0.0009677570117386028,-1.610844042618945,1.6533998616710774,-2.922270280611591,-1.6337629846676793,0.027461199411697813
1780434455.261852264,-0.008675871923372824,-1.5746697779435426,1.5746709132368815,-3.1416190752310813,-1.5395772978139997,4.730111943571471e-08,-0.0005504173484730672,-1.616668375970253,1.658899652149034,-2.919837260404753,-1.6377894002628435,0.028488700519838615
1780434455.312089682,-0.009548933441973162,-1.5750482665748944,1.5750467099713061,-3.14161394986679,-1.536440328578899,4.730111943571471e-08,-0.0005266045019592724,-1.6215603730731472,1.663439623723472,-2.917561813226508,-1.6414621498159219,0.029516555902356988
1780434455.361770630,-0.01127253305594067,-1.5757882922115591,1.5757812160132452,-3.141604235632835,-1.5302494472240227,3.014226084919277e-08,-0.0008174630010515839,-1.6256328398652764,1.6671340857962964,-2.9154253908207903,-1.6448295115626874,0.03055180885211606
1780434455.411718845,-0.012111298733723075,-1.57614498115964,1.5761351112540698,-3.1415996547379734,-1.5272377114685671,3.014226084919277e-08,-0.001455004786195755,-1.6288975894585036,1.6700074794609083,-2.9134552498707005,-1.6478448095865663,0.03158270613011174
1780434455.461818933,-0.012889524185400347,-1.576473952636226,1.5764613908917164,-3.141595349860765,-1.5244438944460796,1.4019429469258558e-08,-0.002535593562214761,-1.631571068081703,1.6722701060292897,-2.9116112691439615,-1.6505962108627823,0.03260262431533179
